scenario,explicit_critical_dt_s,implicit_dt_s,explicit_trial_minimum,implicit_minimum,converged,newton_iterations,total_gmres_iterations,residual_relative,number_relative_change,free_energy_change
finite_or_mixed_tilt,3.5291091502583245,3.599691333263491,-0.02207778004091132,0.3033635212124613,True,5,67,1.3524215676613409e-15,2.16664422233943e-16,-1.919067165425664e+16
nonlinear_even_shear,3.4656690451555257,3.534982426058636,-0.023889096939153198,0.2198692513885537,True,5,68,1.7892508267239544e-15,0.0,-3.0667139837394944e+16
directional_crossing,18.465864815922725,18.83518211224118,-0.01496156694049211,0.5189196276226763,True,4,89,1.103517295575749e-14,0.0,-4049035141644288.0
