case,kind,S0_full,S0_provisional,full_minus_provisional_relative,production_reference_relative,orientation_relative,stored_reproduction_relative
interior_core,interior,0.18433446861779168,0.18433446863638503,9.980068647552159e-11,1.651210728185201e-11,4.53937967865743e-16,0.0
interior_cross,interior,7.681738780983075e-09,7.681738780419308e-09,1.0062517278933402e-10,3.888996120444392e-11,6.4884491820001e-16,0.0
near_red,near,4.898769721374432e-06,4.898388555939961e-06,7.769626872402205e-05,2.205118077609675e-09,3.5089176430827114e-16,0.0
near_blue,near,4.859398270130301e-06,4.859778775897773e-06,7.817707735627111e-05,2.2036604064638548e-09,1.900619514358443e-16,0.0
far_red,far,5.428455134860088e-12,5.4277069683169e-12,0.00013790406387728836,9.017727372544737e-13,6.87900428900262e-16,0.0
far_blue,far,5.394987264340146e-12,5.3957390356257e-12,0.00013939042408997256,5.18901430214299e-12,3.7465274289245853e-16,0.0
