scenario,BE_action_relative,number_residual_relative,boundary_number_residual_relative,entropy_free_energy_production,boundary_to_full_action_norm,four_force_hydrogen_residual,four_force_normal_residual
finite_or_mixed_tilt,1.202675062260982e-16,7.214281799305555e-19,1.4492018271470223e-18,-2.105218331712078e+16,1.8204997917321328e-05,0.0,0.0
nonlinear_even_shear,8.814408779234565e-16,8.557547910579683e-18,7.221089067241847e-18,-3.2837631063602596e+16,1.599818748713679e-05,0.0,0.0
directional_crossing,4.0394392569195836e-16,5.139527413281319e-19,1.4490648988200615e-18,-1548500425953190.2,2.1785371776443035e-05,0.0,0.0
