scenario,bianchi_type,chart_id,selected_policy,ell_max,lebedev_order,angle_count,minimum_weight,gram_residual,frame_roundtrip_residual,characteristic_crossing,policy_match
finite_or_mixed_tilt,VI_h,class_b_tilted,finite_or_mixed_tilt,12,29,302,0.0008545911725128148,2.3219804678250725e-15,3.953955772640617e-16,False,True
nonlinear_even_shear,II,class_a,nonlinear_even_shear,20,41,590,0.0003095121295306187,3.1259717037102064e-15,1.9229626863835638e-16,False,True
directional_crossing,II,class_a,directional_crossing,24,53,974,0.0001438294190527431,2.9352154936157325e-15,1.9229626863835638e-16,True,True
