check,reference,production,absolute_residual
bound_infinite_oscillator_strength,0.5650041506748519874016743743096039681935,0.56500415067485188,8.7401674374309603968e-17
continuum_infinite_oscillator_strength,0.4349958493251480125983256256903960318065,0.43499584932514812,8.7401674374309603968e-17
TRK_bound_plus_continuum,1.0,1,1.8774813685872569022e-77
static_polarizability_a0_cubed,4.5,4.5,7.5353918596653769989e-77
Ly_alpha_oscillator_strength,0.4161967179799827262104354011075547426713,0.4161967179799827,2.6210435401107554743e-17
