check,argument,reference,computed,relative_residual
SymPy_two_time_ordering_identity,symbolic,0,0,0.0
SymPy_seagull_TRK_to_length_gauge_channel,symbolic,0,0,0.0
Faddeeva_SciPy_vs_mpmath_100dps,(0.1+0.2j),(0.80256668732089967437102567183988213 + 0.080028603551524774242351721445101243j),(0.8025666873208999+0.0800286035515248j),2.364308330364351e-16
Faddeeva_SciPy_vs_mpmath_100dps,(-3+0.01j),(0.00090883070674158048120942593116543409 - 0.20114646254019640387053931548950033j),(0.0009088307067415815-0.20114646254019664j),1.1516232445963866e-15
Faddeeva_SciPy_vs_mpmath_100dps,(8+0.0001j),(0.00000090306208146867166595040095636263753 + 0.071088111732912331755111647542482339j),(9.030620814686795e-07+0.07108811173291295j),8.66943192710439e-15
Faddeeva_SciPy_vs_mpmath_100dps,(-12+2j),(0.0076998635242142487892362975767731137 - 0.045884025634907170371878895236018516j),(0.00769986352421425-0.04588402563490717j),1.81375044677925e-17
