native_index,energy_eV,doppler_x,support,Aup_s_inv,Adn_s_inv,Gamma_s_inv,Tvr_2s_s_inv,Tvr_2p_s_inv,Trv_2s_s_inv,Trv_2p_s_inv
16,7.72872190000000003e+00,-1.03137796318504988e+04,NATIVE_LEFT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,2.08019213540798625e-05,-2.88895976150222833e-01,-4.20753276751452160e-04,-2.07114278699688954e-05,-9.04934841109662896e-08
17,7.88806660000000015e+00,-9.64841485083681982e+03,NATIVE_LEFT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,3.76285248348678258e-05,-2.82236547845783059e-01,-4.47847406556283834e-04,-3.74502488784428405e-05,-1.78275956424988538e-07
18,8.04741130000000027e+00,-8.98305006982313898e+03,NATIVE_LEFT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,6.78511507808685288e-05,-2.74832304224263579e-01,-4.81166753551709198e-04,-6.74966385425618222e-05,-3.54512238306704841e-07
19,8.20678320000000028e+00,-8.31757171162714076e+03,NATIVE_LEFT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.21910581135329220e-04,-2.66601317303280461e-01,-5.22543218911376318e-04,-1.21197930977196144e-04,-7.12650158133073968e-07
20,8.31951300000000060e+00,-7.84685358488231577e+03,NATIVE_LEFT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,7.59737446972536505e-05,-1.07421256857513372e-01,-2.30365251013502770e-04,-7.54880912910051437e-05,-4.85653406248513251e-07
21,8.38467600000000068e+00,-7.57475689622436585e+03,NATIVE_LEFT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,9.45156479621281793e-05,-1.03855441107548532e-01,-2.35613656737771935e-04,-9.38767222330951547e-05,-6.38925729033025904e-07
22,8.44864229999999949e+00,-7.30765718602531615e+03,NATIVE_LEFT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.16986951730598378e-04,-1.00358337367599693e-01,-2.41414390138734676e-04,-1.16148755867693685e-04,-8.38195862904699267e-07
23,8.51143919999999987e+00,-7.04544045953966452e+03,NATIVE_LEFT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.44079562500702593e-04,-9.69287642206572153e-02,-2.47816665768515120e-04,-1.42982874448623694e-04,-1.09668805207890925e-06
24,8.57309380000000054e+00,-6.78799355714826743e+03,NATIVE_LEFT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.76577883144188666e-04,-9.35657170083813300e-02,-2.54877278200083988e-04,-1.75146561492202471e-04,-1.43132165198618907e-06
25,8.63363340000000079e+00,-6.53520248410563818e+03,NATIVE_LEFT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,2.15365985699160717e-04,-9.02682410385354239e-02,-2.62661733689619446e-04,-2.13502244837574981e-04,-1.86374086158573867e-06
26,8.69308509999999934e+00,-6.28695408079263143e+03,NATIVE_LEFT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,2.61434645380893751e-04,-8.70356062169825861e-02,-2.71245660239244064e-04,-2.59013010440396806e-04,-2.42163494049695416e-06
27,8.75150340000000071e+00,-6.04302077528142036e+03,NATIVE_LEFT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,3.15921231704232772e-04,-8.38671379971473313e-02,-2.80716855585013672e-04,-3.12780451645278926e-04,-3.14078005895382934e-06
28,8.80886090000000088e+00,-5.80351697988068099e+03,NATIVE_LEFT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,3.79989688934973208e-04,-8.07623042762188742e-02,-2.91177355125046605e-04,-3.75923666062276797e-04,-4.06602287269643438e-06
29,8.86518500000000031e+00,-5.56832828228175094e+03,NATIVE_LEFT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,4.54969946042644939e-04,-7.77207258165438508e-02,-3.02746093264304650e-04,-4.49714616458943880e-04,-5.25532958370105503e-06
