state,ell_max,reference_ell_max,full_action_norm,truncation_relative_error
finite_tilt_beta0p3,6,32,0.5082471559483358,0.00015993824112771704
finite_tilt_beta0p3,8,32,0.5082471559483358,5.760067495949957e-06
finite_tilt_beta0p3,10,32,0.5082471559483358,1.9255659077247114e-07
finite_tilt_beta0p3,12,32,0.5082471559483358,6.1100567994277404e-09
finite_tilt_beta0p3,14,32,0.5082471559483358,1.864968418516813e-10
finite_tilt_beta0p3,16,32,0.5082471559483358,5.48572523650333e-12
finite_tilt_beta0p3,18,32,0.5082471559483358,1.549564888056016e-13
finite_tilt_beta0p3,20,32,0.5082471559483358,8.332968807387377e-14
finite_tilt_beta0p3,24,32,0.5082471559483358,6.68446825484203e-14
finite_tilt_beta0p3,28,32,0.5082471559483358,4.902982415965096e-14
large_shear_even,6,32,0.6450415302095929,0.04227653517203196
large_shear_even,8,32,0.6450415302095929,0.01007948836570399
large_shear_even,10,32,0.6450415302095929,0.0021989268716637984
large_shear_even,12,32,0.6450415302095929,0.000434396061382896
large_shear_even,14,32,0.6450415302095929,8.00463587954288e-05
large_shear_even,16,32,0.6450415302095929,1.37302823212644e-05
large_shear_even,18,32,0.6450415302095929,2.225440447538803e-06
large_shear_even,20,32,0.6450415302095929,3.4105278437492223e-07
large_shear_even,24,32,0.6450415302095929,6.956785892856973e-09
large_shear_even,28,32,0.6450415302095929,1.2005635742014192e-10
mixed_tilt_shear,6,32,0.8353755907341132,0.006879832963500936
mixed_tilt_shear,8,32,0.8353755907341132,0.0006597413261692122
mixed_tilt_shear,10,32,0.8353755907341132,5.1761625859538255e-05
mixed_tilt_shear,12,32,0.8353755907341132,3.453806145904994e-06
mixed_tilt_shear,14,32,0.8353755907341132,2.0153334974851042e-07
mixed_tilt_shear,16,32,0.8353755907341132,1.0503489760562274e-08
mixed_tilt_shear,18,32,0.8353755907341132,4.971360807967787e-10
mixed_tilt_shear,20,32,0.8353755907341132,2.1630111872061416e-11
mixed_tilt_shear,24,32,0.8353755907341132,7.481666238684514e-14
mixed_tilt_shear,28,32,0.8353755907341132,5.850690594076391e-14
red_blue_crossing,6,32,0.031016128243062175,0.0496071204075971
red_blue_crossing,8,32,0.031016128243062175,0.018164840765498808
red_blue_crossing,10,32,0.031016128243062175,0.006657989110717549
red_blue_crossing,12,32,0.031016128243062175,0.002440397325146284
red_blue_crossing,14,32,0.031016128243062175,0.0008943654757214249
red_blue_crossing,16,32,0.031016128243062175,0.00032772521103679515
red_blue_crossing,18,32,0.031016128243062175,0.00012007663703496809
red_blue_crossing,20,32,0.031016128243062175,4.3991838332164816e-05
red_blue_crossing,24,32,0.031016128243062175,5.902865134971778e-06
red_blue_crossing,28,32,0.031016128243062175,7.850353884715015e-07
narrow_beam_stress,6,32,2.029079958400942,0.02137960876609818
narrow_beam_stress,8,32,2.029079958400942,0.002198903359976287
narrow_beam_stress,10,32,2.029079958400942,0.00015717636557952664
narrow_beam_stress,12,32,2.029079958400942,8.214896811425622e-06
narrow_beam_stress,14,32,2.029079958400942,3.2654787653766093e-07
narrow_beam_stress,16,32,2.029079958400942,1.0184234875470218e-08
narrow_beam_stress,18,32,2.029079958400942,2.554780253573698e-10
narrow_beam_stress,20,32,2.029079958400942,5.225080138837333e-12
narrow_beam_stress,24,32,2.029079958400942,8.390487029581645e-14
narrow_beam_stress,28,32,2.029079958400942,6.107927413811186e-14
