policy,ell_max,lebedev_order,point_count,mode_count,maximum_gram_residual,random_roundtrip_relative,states_for_17_frequency_cells,states_for_35_frequency_cells
mild_tilt,12,25,230,169,2.8976820942716586e-14,4.161978581987083e-15,3910,8050
nonlinear_large_shear,20,41,590,441,3.1259717037102064e-15,3.981217488436916e-15,10030,20650
red_blue_crossing,24,53,974,625,2.928532890672236e-15,4.000001554505296e-15,16558,34090
