ell,segment,segment_norm,segment_norm_over_total_norm,trace_fraction
0,backscatter,0.006617268423295565,0.015430884345506062,0.007623213752126549
0,regular_middle,0.4241883799500145,0.9891697620536275,0.9896450405299292
0,coherent_forward,0.0006691381297277264,0.0015603709008761163,0.0027317457179444247
1,backscatter,0.006584299161563274,0.05632443369249029,-0.026164418997455394
1,regular_middle,0.1133693453029386,0.969801647159716,1.016746274726891
1,coherent_forward,0.0006688036164243637,0.0057211836859563355,0.009418144270564177
2,backscatter,0.006518689617823878,0.07948032310055946,0.02966635018674147
2,regular_middle,0.07624130210999072,0.9295861101808863,0.9595582534798458
2,coherent_forward,0.0006681349243030646,0.008146358052264938,0.010775396333412903
3,backscatter,0.0064210936454238655,0.17887217348699233,-0.07965478023452097
3,regular_middle,0.032447338686671594,0.9038843404643095,1.0503269141543905
3,coherent_forward,0.0006671327219165932,0.018584292110201274,0.02932786608013029
4,backscatter,0.006292481816546319,0.21227286989838948,0.09423165923516676
4,regular_middle,0.025357415701515982,0.8554162826523058,0.8704351462207686
4,coherent_forward,0.000665798011049468,0.02246027222621055,0.03533319454406411
5,backscatter,0.006134129332731013,0.5047724283688694,-0.25170065818505194
5,regular_middle,0.010299250501061815,0.8475168037393969,1.1551285619263625
5,coherent_forward,0.0006641321254660422,0.05465088320529761,0.09657209625868894
6,backscatter,0.00594760016953985,0.43386272717721497,0.21505643903176688
6,regular_middle,0.010750431116844704,0.7842173699860349,0.700098929967099
6,coherent_forward,0.0006621367292440101,0.04830123729319775,0.08484463100113342
