iteration,raw_residual_inf,net_scaled_residual,gross_backward_error,number_relative_residual,residual_roundoff_ratio,gmres_iterations,damping
0,2.704659957198014e-09,346031.7235837263,1.5678828665780915e-06,0.0057881444365477505,55164974.16938811,28,1.0
1,1.604643520913637e-11,2052.966258480949,9.356721490302189e-09,2.438699900459483e-05,329210.3704463629,25,1.0
2,2.914098038502206e-16,0.03728270403350559,1.699248622093205e-13,6.132657754275523e-09,5.97869957911624,25,1.0
3,5.47484434899479e-20,7.004465834581042e-06,3.192453270584475e-17,1.4079792611681323e-16,0.0011232446374845283,0,0.0
