state_index,state_label,x_center,parent_monopole,candidate_monopole,maximum_relative_update
0,I00,-4.0,7.679043125478485e-15,7.654373968998472e-15,0.0032126334845257176
1,I01,-3.5,7.678041615359574e-15,7.650829481502248e-15,0.0035441946360263987
2,I02,-3.0,7.677040118612901e-15,7.647288102546083e-15,0.0038754623988568326
3,I03,-2.5,7.676038635237541e-15,7.643750518331186e-15,0.004206352315399897
4,I04,-2.0,7.675037165232424e-15,7.64021493189787e-15,0.0045370769261835475
5,I05,-1.5,7.674035708596493e-15,7.636680999364562e-15,0.0048676746849172225
6,I06,-1.0,7.673034265328749e-15,7.633148702503083e-15,0.00519814736584967
7,I07,-0.5,7.672032841986123e-15,7.62961803957024e-15,0.005528495941012901
8,I08,0.0,7.671032172307228e-15,7.62608900973155e-15,0.0058588155509075035
9,I09,0.5,7.670031515984636e-15,7.622561612219944e-15,0.006189010263701333
10,I10,1.0,7.669030873017273e-15,7.619035846260184e-15,0.006519080130842125
11,I11,1.5,7.668030243404165e-15,7.615511710942946e-15,0.006849025228021111
12,I12,2.0,7.667029627144161e-15,7.611989203727999e-15,0.007178845898146102
13,I13,2.5,7.666029024236272e-15,7.6084682939443e-15,0.0075085468529711985
14,I14,3.0,7.665028434679445e-15,7.604948389592223e-15,0.007838218814926856
15,I15,3.5,7.635863416578407e-15,7.601425517691426e-15,0.004510165618568429
16,I16,4.0,7.634866926016862e-15,7.597899195141696e-15,0.0048424421802176765
17,NR00,-9.25,7.748024495468967e-15,7.701391397412929e-15,0.006633433827170299
18,NR01,-7.625,7.724565943508384e-15,7.680477924013031e-15,0.005735249066771142
19,NR02,-6.5,7.722300067976419e-15,7.672150199396949e-15,0.006496907083528236
20,NR03,-5.625,7.720537767390235e-15,7.665902129864272e-15,0.00707721217068924
21,NR04,-5.0,7.719279006459185e-15,7.661461376626564e-15,0.007490272236254647
22,NR05,-4.5,7.718272012833916e-15,7.657915030577008e-15,0.007820125049382343
23,NB00,4.5,7.6338704544536e-15,7.594393705526682e-15,0.005171389007739058
24,NB01,5.0,7.632873996189497e-15,7.590881081558603e-15,0.005501893305742578
25,NB02,5.625,7.631628442059528e-15,7.586496517869573e-15,0.00591461340338062
26,NB03,6.5,7.629884701181013e-15,7.580365364864787e-15,0.006498718760230782
27,NB04,7.625,7.576079855566518e-15,7.569542548749692e-15,0.0012938267522897284
28,NB05,9.25,7.572861912240957e-15,7.518290339689035e-15,0.011401666825235135
29,FR00,-18.75,7.81621964942064e-15,7.791228946746113e-15,0.004951478415118782
30,FR01,-14.5,7.78196524662776e-15,7.754029013662107e-15,0.005240213247697412
31,FR02,-11.5,7.752571688295968e-15,7.724504023922001e-15,0.004910589994822856
32,FB00,11.5,7.568407863651131e-15,7.45932504031896e-15,0.020022442795470052
33,FB01,14.5,7.464898558743675e-15,7.377651325315647e-15,0.015427118836347953
34,FB02,18.75,7.279205913286067e-15,7.278325581949954e-15,0.00016465034428791991
