scenario,model,snapshot_index,bianchi_type,chart_id,tau,H_s_inv,beta_norm,normalized_shear_squared,selected_policy,ell_max,lebedev_order,angle_count,minimum_weight,gram_residual,red_directional_crossing,blue_directional_crossing,characteristic_crossing,frame_roundtrip_residual,R_H_over_H_min,R_H_over_H_max,policy_match
finite_or_mixed_tilt,Bianchi_VI_h_tilted_large_shear,100,VI_h,class_b_tilted,0.625,1.641522095809452e-14,0.46014081170684445,0.09492530829009119,finite_or_mixed_tilt,12,29,302,0.0008545911725128148,2.3219804678250725e-15,False,False,False,3.953955772640617e-16,-1.9155999101230852,-0.10294403235846285,True
nonlinear_even_shear,Bianchi_II_large_shear,70,II,class_a,0.7291666666666666,9.097521142222529e-15,0.0,0.2121327684023875,nonlinear_even_shear,20,41,590,0.0003095121295306187,3.1259717037102064e-15,False,False,False,1.9229626863835638e-16,-1.5433726709892754,-0.0841413967666401,True
directional_crossing,Bianchi_II_large_shear,0,II,class_a,0.0,5.000000000000008e-14,0.0,0.49639999999999995,directional_crossing,24,53,974,0.0001438294190527431,2.9352154936157325e-15,True,True,True,1.9229626863835638e-16,-1.8385640646055101,0.39999999999999997,True
