scenario,explicit_critical_dt_s,implicit_dt_s,explicit_trial_minimum,implicit_minimum,converged,newton_iterations,total_gmres_iterations,residual_relative,number_before,number_after,number_relative_change,free_energy_before,free_energy_after,free_energy_change
finite_or_mixed_tilt,3.529109151715464,3.599691334749773,-0.02207778004091132,0.3033635212124617,True,5,67,1.0518834415143761e-15,9.45240560902369e+18,9.45240560902369e+18,0.0,3.574094640684098e+20,3.573902733967569e+20,-1.9190671652880384e+16
nonlinear_even_shear,3.4656690451623597,3.534982426065607,-0.023889096939153198,0.2198692513885537,True,5,68,1.417458447144951e-15,9.55401311654344e+18,9.55401311654344e+18,0.0,3.615116360350512e+20,3.614809688952152e+20,-3.066713983601869e+16
directional_crossing,18.465864754148505,18.835182049231477,-0.01496156694049211,0.5189196276226763,True,4,89,1.703815903819329e-14,9.675617590379194e+18,9.675617590379194e+18,0.0,3.658182093159658e+20,3.6581416028084575e+20,-4049035120082944.0
