scenario,minimum_occupation,maximum_occupation,action_infinity_norm_s_inv,gross_action_scale,BE_action_relative,number_residual,number_residual_relative,entropy_free_energy_production,boundary_action_norm,boundary_to_full_action_norm,boundary_number_residual,boundary_number_residual_relative,four_force_hydrogen_residual,four_force_normal_residual
finite_or_mixed_tilt,0.30336352120966426,1.1082351236351144,0.3127953697632093,8.504105449306787e+17,1.2026750625641781e-16,1.2657928466796875,1.4884491428582519e-18,-2.105218330729953e+16,8.901662260848799e-05,1.8204983735773157e-05,-1.52587890625e-05,5.796809980380357e-19,0.0,0.0
nonlinear_even_shear,0.2198692513885537,1.1944548469576592,0.34465346557686133,8.823079025616691e+17,8.81440878264331e-16,-7.0746307373046875,8.018324121051612e-18,-3.2837631063805732e+16,0.0001286759601984186,1.5998175065217143e-05,-0.0002288818359375,8.665310902536088e-18,0.0,0.0
directional_crossing,0.5189196276226763,0.8907708665765836,0.04051141698395354,7.986680547391538e+17,4.0394392583811994e-16,-1.898921012878418,2.377609823769161e-18,-1548500423203887.5,4.137066406799103e-05,2.1785044860133117e-05,3.528594970703125e-05,1.3077161295788118e-18,0.0,0.0
