check,absolute_residual,relative_residual
activity_reference_derivative_mpmath_80dps,0.0,0.0
lorentz_inverse_mpmath_80dps,2.1084395886461046449e-81,2.1084395886461046449e-81
bose_einstein_pair_null_mpmath_80dps,2.1084395886461046449e-81,2.1084395886461046449e-81
