target_z,snapshot_z,local_size,differential_rows,algebraic_rows,history_values,source_electron_rate_per_lna,python_electron_rate_per_lna,source_electron_rate_relative,high_precision_electron_rate_per_lna,high_precision_electron_rate_relative,scaled_source_residual,shifted_ijacobian_relative,backward_euler_backward_error,backward_euler_algebraic_residual,minimum_physical_population,native_diagonal_over_H_min,history_restart_exact,future_endpoint_rejected,native_local_time_measure_identifiable,finite_support_widths_present,cell_edges_present,spike_shape_present,candidate_mass_ratio_b_over_a,candidate_mass_max_relative_difference,state_classification
1300.0,1299.9971824762927,314,1,313,625,-3.3187774869501125,-3.3187774869500135,2.983987151472822e-14,-3.3187774869495149802164966858913179030198080034909110746955824225602111057476817010297955,1.5021187333698988e-13,2.983987151472822e-14,6.459844183013861e-16,1.8117642745581107e-12,2.684710372049196e-15,1.7228366210021964e-14,20338368335819.574,True,True,False,False,False,False,2.0,0.5,SOURCE_IDENTIFIABLE_SEMI_EXPLICIT_DAE_WITH_CAUSAL_ACCEPTED_STEP_MEMORY
1100.0,1099.9986525171403,314,1,313,625,-1.5028593700636264,-1.502859370063594,2.1571221476086664e-14,-1.50285937006359933719217404339824951504796728725873385163207820476709128449397864930394288,3.551358350859891e-15,3.4992746547891075e-14,1.0034810232922454e-15,1.0403587813079759e-12,2.1714866434857593e-14,6.5631873161119055e-15,17125906632334.064,True,True,False,False,False,False,2.0,0.5,SOURCE_IDENTIFIABLE_SEMI_EXPLICIT_DAE_WITH_CAUSAL_ACCEPTED_STEP_MEMORY
900.0,900.0168986313175,314,1,313,625,-0.1601411460878424,-0.16014114608783817,2.651787609201841e-14,-0.160141146087838223963165895087858742108731827347706103206696471295505883723839217594368444,3.369725221367455e-16,3.116961363191547e-14,3.859548117822003e-15,1.531084170818556e-12,3.599684962088726e-14,4.860809256824941e-16,27061812829706.496,True,True,False,False,False,False,2.0,0.5,SOURCE_IDENTIFIABLE_SEMI_EXPLICIT_DAE_WITH_CAUSAL_ACCEPTED_STEP_MEMORY
