lebedev_order,point_count,capture_fraction_min,capture_fraction_max,capture_fraction_mean,capture_angular_std_max
7,26,0.7266700555119416,0.999999953256947,0.9530819237768366,0.0011768137921165257
11,50,0.7243986853436637,0.9999999533253235,0.9527948486438924,0.00015762934949287402
15,86,0.7244859868642161,0.9999999533154877,0.9527577222584458,1.48464559295397e-05
19,146,0.724745217353456,0.9999999533165772,0.9527863685351508,0.00011493916997215886
23,194,0.7249074009771845,0.9999999533165643,0.9528040812284817,5.811923375290684e-05
29,302,0.7250863421965219,0.9999999533165179,0.9528220612952593,1.600595867584509e-05
