ell,baseline_norm,exact_recoil_correction_norm,relative_correction,seed_standard_error_norm,correction_to_standard_error
0,0.6014999925552077,0.0003518516345898446,0.0005849613968488213,7.624657332999446e-05,4.6146550490477
1,0.15550622145359017,0.00021558033254240116,0.0013862557118978222,3.7109878820709794e-05,5.809243775328442
2,0.10413569446360235,0.0001306103153912734,0.00125419138484061,2.991425517485592e-05,4.366156356821358
3,0.043652781969764486,8.867379510340566e-05,0.002031215291529353,2.8756531791042612e-05,3.0836053439179585
4,0.03159106872212492,5.2437549179477955e-05,0.0016599843639258029,2.567537366100782e-05,2.0423285702405494
5,0.013471258165088054,3.279596895948976e-05,0.002435073463203249,2.9291254466598456e-05,1.11965054268631
6,0.014237219478001092,1.973375955163062e-05,0.001385253190074869,2.896707046436915e-05,0.681248025267314
