small_domain,large_domain,quantity,max_abs,max_rel,rms_rel
10.25,12.75,opacity,1.1751004015312296e-05,0.14807385720435345,7.742555244510143e-07
10.25,12.75,M1,0.4105845578888858,3.657713993050004,0.08701920921056058
10.25,12.75,M2,0.5915020586234223,0.3590344083368909,0.03645753518027665
10.25,12.75,M3,2.047918814323471,5.2602963468422015,0.031801524330802446
10.25,12.75,M4,2.856271942457682,0.31377853095716723,0.011037524529211671
12.75,16.25,opacity,6.330877698939083e-06,0.1239356995906427,4.161096293002502e-07
12.75,16.25,M1,0.4361946939146752,5.294966728564891,0.09220756331796871
12.75,16.25,M2,0.9604024755377261,0.43675763766511083,0.05765482091247857
12.75,16.25,M3,3.7367465425766904,6.376057583058947,0.05664716615748935
12.75,16.25,M4,8.98756906265909,0.5172516078781184,0.029505019706919128
16.25,21.25,opacity,2.842045585166068e-06,0.08845544632254133,1.8589207819169997e-07
16.25,21.25,M1,0.4184614994421305,6.717024958933559,0.08820493926214606
16.25,21.25,M2,1.4668614095516204,0.4988923388422174,0.08623309685438896
16.25,21.25,M3,7.200301707474825,2.8213991733886132,0.10849245484468499
16.25,21.25,M4,27.53709788462298,0.6490784712139133,0.08800048462623981
