target_i,source_j,x_i,x_j,base_symmetric_rate_s^-1,completed_i_from_j_s^-1,completed_j_from_i_s^-1,Pi_i_m^-3,Pi_j_m^-3,conductance_i_j_m^-3_s^-1,relative_balance_residual,log_rate_ratio,log_Pi_ratio
11,15,1.5,3.5,2.1552021007831892e-06,2.1570971541954335e-06,2.1533087122136383e-06,1.206088964566291,1.2039707483986715,2.5970818751053206e-06,0.0,0.0017578126397852923,0.0017578126397852923
11,16,1.5,4.0,6.615237409027086e-07,6.622509122389351e-07,6.607973680223881e-07,1.206088964566291,1.2034417750997495,7.969804133862525e-07,0.0,0.0021972664535971002,0.0021972664535971002
12,13,2.0,2.5,0.00023978591160230496,0.00023983860471422908,0.00023973323006718286,1.2055590619049625,1.205029391709487,0.0002890125679472396,1.875700735414783e-16,0.00043945303330867816,0.0004394530333084562
12,14,2.0,3.0,1.9176012849347726e-05,1.918444166062272e-05,1.916758774132669e-05,1.2055590619049625,1.2044999539311483,2.310765909641487e-05,1.4662375686262683e-16,0.0008789063131094461,0.0008789063131094461
12,15,2.0,3.5,3.354962156745308e-06,3.3571744095833677e-06,3.352751361699434e-06,1.2055590619049625,1.2039707483986715,4.041939786410955e-06,0.0,0.0013183598970631912,0.0013183598970634128
12,16,2.0,4.0,1.2036327517276167e-06,1.204691097830233e-06,1.202575335403991e-06,1.2055590619049625,1.2034417750997495,1.4497755932196815e-06,2.9212553695058347e-16,0.001757813710875458,0.0017578137108752365
13,14,2.5,3.0,2.458732539506487e-05,2.459272847903707e-05,2.4581923498163734e-05,1.205029391709487,1.2044999539311483,2.962194032004139e-05,0.0,0.00043945327980085037,0.00043945327980085037
13,15,2.5,3.5,5.1182827446235965e-06,5.120532485833083e-06,5.1160339918534035e-06,1.205029391709487,1.2039707483986715,6.1649713291681665e-06,1.373944665803644e-16,0.0008789068637548538,0.0008789068637548538
13,16,2.5,4.0,2.0506549814346844e-06,2.0520071785019716e-06,2.049303675415405e-06,1.205029391709487,1.2034417750997495,2.4694711614138414e-06,-1.7150087850577492e-16,0.0013183606775665883,0.0013183606775665883
14,15,3.0,3.5,7.772374557857846e-06,7.774082544423821e-06,7.770666946541053e-06,1.2044999539311483,1.2039707483986715,9.359767979122997e-06,1.8099443258499806e-16,0.0004394535839539778,0.0004394535839539778
