frequency_index,x_center,base_opacity_s^-1,completed_opacity_s^-1,base_A1_x_per_s,completed_A1_x_per_s,thermodynamic_increment_A1_x_per_s,base_A2_x2_per_s,completed_A2_x2_per_s,completed_M1_x_per_scattering,completed_M2_x2_per_scattering,d_log_Pi_dx,Einstein_increment_prediction_x_per_s,Einstein_increment_relative_residual
0,-4.0,1.99865760214694e-05,1.997969389980137e-05,1.5667021567359228e-05,1.5654498274969014e-05,-1.2523292390213348e-08,2.8514601896712692e-05,2.8480666039261543e-05,0.7835204259623139,1.4254805995573678,-0.0008788994602447753,-1.2530734108057715e-08,0.0005938772445567696
1,-3.5,3.893053358500428e-05,3.891272172293233e-05,4.056347074003073e-05,4.0500739499015356e-05,-6.273124101537151e-08,0.00014289285872511374,0.00014260541127208626,1.0408097328012695,3.664750368464846,-0.0008788997035760748,-6.27942455883202e-08,0.001003349468703573
2,-3.0,0.00019055874599938267,0.00019036392093074058,0.00044373715714238334,0.0004429374150263558,-7.997421160275422e-07,0.001821719512880076,0.0018180113213355415,2.326792875775595,9.55018846242919,-0.0008789002543519997,-8.005548716141499e-07,0.0010152403232135741
3,-2.5,0.0020391283941064682,0.0020369643089722493,0.004928354040160387,0.00492067927820095,-7.674761959437434e-06,0.01747965613543846,0.017449177330971004,2.415692438265489,8.566265620910652,-0.0008789007893882095,-7.68144178783566e-06,0.0008696060691111834
4,-2.0,0.01713398559961998,0.017119039292833566,0.03403297169763255,0.03398959585493912,-4.337584269343414e-05,0.09877480759952656,0.09863420444567893,1.9854850072788819,5.7616670397485175,-0.0008789013401740708,-4.340665538732995e-05,0.0007098610482852532
5,-1.5,0.09143642938077909,0.09137633374838397,0.13681973308599646,0.13668315370547576,-0.00013657938052069607,0.3109670657082662,0.31062302847527523,1.495826633642905,3.3993816093630342,-0.0008789019377040685,-0.0001366547783065718,0.0005517391108460575
6,-1.0,0.30293546044809927,0.3028025670144026,0.30252021203346646,0.30229457395537596,-0.0002256380780905065,0.5136591177471487,0.5132481753435859,0.9983223621119351,1.6949928146387663,-0.0008789024578405302,-0.00022572813054008364,0.0003989420785157373
7,-0.5,0.6215640097313494,0.6214276180468546,0.31045933580374,0.31027614985453567,-0.00018318594920435638,0.41695427300915006,0.41674784487283134,0.49929571979715476,0.6706297447523635,-0.0008789030083642124,-0.00018323118244902757,0.00024686433862739036
8,0.0,0.7897985307773535,0.78979855580973,2.7277213758667047e-17,-0.000114236612298069,-0.00011423661229809628,0.2599525447150723,0.2599525746375087,-0.00014464018889088687,0.3291378196697206,-0.0008789035587785932,-0.0001142366083318142,3.4719886561919916e-08
9,0.5,0.6215640097313493,0.6217004818752289,-0.31045933580373997,-0.310642612469412,-0.0001832766656720275,0.4169542730091501,0.4171608470760901,-0.49966603135391474,0.6709997164837512,-0.0008789040930601566,-0.000183231408583332,0.0002469941646216954
10,1.0,0.3029354604480993,0.30306845312940695,-0.30252021203346663,-0.3027460308323935,-0.00022581879892685786,0.5136591177471486,0.5140704261058036,-0.9989361403548136,1.6962188601210204,-0.0008789046609550821,-0.00022572869636502211,0.00039916308066581595
11,1.5,0.09143642938077909,0.0914965851209569,-0.1368197330859965,-0.1369564638262098,-0.0001367307402133089,0.3109670657082662,0.3113115127311771,-1.4968478183656333,3.4024385972397617,-0.0008789052128519159,-0.0001366552875381297,0.0005521387173410563
12,2.0,0.01713398559961999,0.017148951001994543,-0.03403297169763256,-0.03407640941652683,-4.343771889427084e-05,0.09877480759952656,0.0989156246145206,-1.9870841903136527,5.76802771219161,-0.000878905776030503,-4.340687446276276e-05,0.0007105886311750206
13,2.5,0.0020391283941064682,0.00204129585884506,-0.004928354040160386,-0.004936042218509579,-7.688178349193539e-06,0.01747965613543846,0.01751019167948033,-2.4180925058567113,8.577978348218167,-0.0008789063131093566,-7.68149006420878e-06,0.0008707015082818371
14,3.0,0.00019055874599938267,0.00019075392333702646,-0.0004437371571423833,-0.0004445385319842706,-8.013748418873282e-07,0.001821719512880076,0.0018254358480060983,-2.330429299736364,9.569584814152918,-0.0008789068637548025,-8.00560891853177e-07,0.0010167247019361393
15,3.5,3.893053358500428e-05,3.8948373120352026e-05,-4.0563470740030714e-05,-4.062632864180089e-05,-6.285790177017268e-08,0.00014289285872511376,0.00014318099282574379,-1.0430815304214096,3.676173902907544,-0.0008789073977658324,-6.279479531070522e-08,0.0010049632163813735
16,4.0,1.9986576021469402e-05,1.9993463702927936e-05,-1.5667021567359224e-05,-1.5679559868370757e-05,-1.2538301011532575e-08,2.8514601896712682e-05,2.8548595067393417e-05,-0.784234292834141,1.4278964111262336,-0.0008789076276237151,-1.2530850552837216e-08,0.0005945692723685247
