point,Tr_eV_rescaled,Tm_over_Tr,regular_max_relative,delta_alpha_raw_relative_diagnostic,delta_alpha_gross_scaled_relative
z1100,0.25882399309326415,0.9999895025729527,5.539266456371157e-15,4.4149593787604346e-10,4.192715182515162e-15
off_grid,0.173,0.736,7.641385759411296e-15,2.406844473205954e-14,4.5956998615116564e-15
table_edge,0.04,0.1,5.329523781338055e-15,4.984221712154041e-15,4.19841537309245e-15
