target_z,snapshot_z,alpha_source_relative,delta_alpha_source_raw_relative_diagnostic,beta_source_relative,rate_analytic_jvp_relative_error,saha_detailed_balance_relative,native_residual_relative,com_collision_relative,analytic_jvp_relative_error,photon_number_residual,photon_atom_energy_residual_W_m3,four_force_relative,entropy_production,minimum_physical_state,m_matrix_diagonal_min_s_inv,m_matrix_off_diagonal_max_s_inv,m_matrix_column_dominance_margin_min_s_inv,m_matrix_minimum_real_eigenvalue_s_inv,m_matrix_pass,implicit_backward_error,implicit_native_residual_relative,implicit_com_residual_relative,implicit_number_relative_change,implicit_minimum_physical_state,implicit_free_energy_change,restart_exact,future_history_endpoint_rejected,interface_enabled,state_classification,rho_gamma_J_m3,p_gamma_Pa,max_abs_q_gamma_W_m2,max_abs_pi_gamma_Pa,max_abs_Q_atom_W_m3
1300.0,1299.9971824762927,2.8516161913135987e-14,0.0,2.8472352204775925e-14,2.565446070862263e-10,7.246823702175634e-15,1.4451623320953845e-15,1.7292386712440685e-33,6.853197585828028e-16,1.336861563526437e-15,0.0,0.0,0.0,7.230543007547215e-18,1.3288604567032654,0.0,1.3288604319438955,1.328860456701335,True,2.684710372049196e-15,2.684710372049196e-15,5.647673450866947e-19,4.15284296866448e-16,7.230543007547215e-18,0.0,True,True,False,operator_verification,1.6774727846723336e-16,5.591575948907778e-17,4.0596980059944333e-26,1.232595164407831e-32,6.043664569681665e-35
1100.0,1099.9986525171403,2.1450371760960664e-14,0.0,2.1453065935402897e-14,2.399786793407748e-10,3.4527356911468832e-15,3.4992746547891075e-14,1.7292386712440685e-33,3.3862744693833592e-16,1.336861563526437e-15,0.0,0.0,0.0,7.230543007547215e-18,0.8510978283905839,0.0,0.851097827134753,0.8510978283898339,True,2.1714866434857593e-14,2.1714866434857593e-14,5.647673450866947e-19,4.15284296866448e-16,7.230543007547215e-18,0.0,True,True,False,operator_verification,1.6774732359281335e-16,5.591577453093778e-17,8.931335613187753e-26,8.237864410562591e-35,6.043664569681665e-35
900.0,900.0168986313175,2.1435391232238146e-14,2.337667281821502e-11,1.779979856194264e-14,1.8729902793760793e-10,3.660849501699539e-16,3.116961363191547e-14,1.7292386712440685e-33,1.2454866698977585e-16,1.336861563526437e-15,0.0,0.0,0.0,7.230543007547215e-18,0.9716432459168621,0.0,0.9716432458998997,0.9716432459167683,True,3.599684962088726e-14,3.599684962088726e-14,5.647673450866947e-19,4.15284296866448e-16,7.230543007547215e-18,0.0,True,True,False,operator_verification,1.6774737307133724e-16,5.591579102377908e-17,2.8868963598182637e-26,4.4386666687049576e-35,6.043664569681665e-35
