point,Tr_eV_rescaled,Tm_over_Tr,non_delta_max_relative,delta_alpha_raw_relative_diagnostic,delta_alpha_gross_scaled_relative
z1300,0.30583987092241965,0.9999975572765557,2.221111992459746e-13,0.0,0.0
z1100,0.25882399309326415,0.9999895025729527,2.4866592093571926e-13,0.0,0.0
z900,0.2118120590021666,0.9998275735353302,2.931317394095031e-13,2.3376731460571452e-11,3.59001837725634e-15
table_edge,0.04,0.1,8.810414728316925e-13,1.4893355121451235e-14,1.2545286849168469e-14
off_grid,0.173,0.736,3.369696859216711e-13,1.4510994284596548e-14,2.77077206967547e-15
