lambda,alpha,mode,observable,base_decimal120,hires_decimal120,delta_hires_minus_base,absolute_difference,mean_positive_scale,absolute_difference_over_mean_positive,alpha_JVP_difference,abs_alpha_JVP_difference_over_mean_positive,API_difference,API_alpha_JVP_difference
2,-1/8,raw,S,-0.0914342096583826489880335581757741320948040537368675708455903326957975312483667830299941101347556727279900083725188935027,-0.0914354091369254707688929568778900117471744910457169520573723188704828544790404921596693214874529897802044283727115651358,-0.00000119947854282178085939870211587965237043730884938121178198617468532323067370912967521135269731705221442000019267163310458,0.00000119947854282178085939870211587965237043730884938121178198617468532323067370912967521135269731705221442000019267163310458,4.87951396486613559530166862989437262849791341359254118221743648760865235931361145803487555684030590368095745182517464022,0.000000245819266315940815049489486158340681413361263938947843212238277249251483769076618146361544311738387343788622795390106494,0.0000101825285201579997206358893832438883227907179035289667144563693036695428425752538167562746404353615856495802577702200035,0.00000208679155208388604939367270587194142547139616078268902416312114716652205992232905649074926695018179024223037937596229349,-1.1994785427682508e-06,1.0182528520141787e-05
2,-1/8,raw,1,-0.182868419316765297976067116351548264189608107473735141691180665391595062496733566059988220269511345455980016745037787005,-0.182870818273850941537785913755780023494348982091433904114744637740965708958080984319338642974905979560408856745423130272,-0.00000239895708564356171879740423175930474087461769876242356397234937064646134741825935042270539463410442884000038534326700788,0.00000239895708564356171879740423175930474087461769876242356397234937064646134741825935042270539463410442884000038534326700788,9.75902792973227119060333725978874525699582682718508236443487297521730471862722291606975111368061180736191490365034928045,0.000000245819266315940815049489486158340681413361263938947843212238277249251483769076618146361544311738387343788622795390188338,0.0000203650570403159994412717787664877766455814358070579334289127386073390856851505076335125492808707231712991605155404400070,0.00000208679155208388604939367270587194142547139616078268902416312114716652205992232905649074926695018179024223037937596229348,-2.3989570855365017e-06,2.0365057040283574e-05
2,-1/8,raw,u,-0.0914342096583826489880335581757741320948040537368675708455903326957975312483667830299941101347556727279900083725188935027,-0.0914354091369254707688929568778900117471744910457169520573723188704828544790404921596693214874529897802044283727115651358,-0.00000119947854282178085939870211587965237043730884938121178198617468532323067370912967521135269731705221442000019267163310458,0.00000119947854282178085939870211587965237043730884938121178198617468532323067370912967521135269731705221442000019267163310458,4.87951396486613559530166862989437262849791341359254118221743648760865235931361145803487555684030590368095745182517464022,0.000000245819266315940815049489486158340681413361263938947843212238277249251483769076618146361544311738387343788622795390106494,0.0000101825285201579997206358893832438883227907179035289667144563693036695428425752538167562746404353615856495802577702200035,0.00000208679155208388604939367270587194142547139616078268902416312114716652205992232905649074926695018179024223037937596229349,-1.1994785427682508e-06,1.0182528520141787e-05
2,-1/8,raw,u^2,-0.0563458451053273081905897378872075173803849542224269570369889257468302235666650406702507535254133686665111925254976583783,-0.0563478749014212593809890754331625789139291882791949958708710498021298162831025715648786963741630074366161572483215120729,-0.00000202979609395119039933754595506153354423405676803883388212405529959271643753089462794284874963877010496472282385369459722,0.00000202979609395119039933754595506153354423405676803883388212405529959271643753089462794284874963877010496472282385369459722,3.41625042575253086758849727626319331430255502033173022079248755594025612171987828644069023565845222658806860387647595060,0.000000594159046026044000256805874737554401888848398985214210290586794481456945829807711938460268050442670548189626649791825634,0.0000173357101805914668690745088715363139010711648639318861229802211910970680052668207843951299648722265547674380804434410331,0.00000507448460157096374727559429262549279696621451690466144478699514968810724903371768380005191086295504235314950123846104348,-2.029796093920566e-06,1.7335710180588215e-05
2,-1/8,raw,window,-0.0114734757778066999095718545403055318539564283263665105315697846997113340076728947797361962479213620615297365100263427639,-0.0114741550521888942575435180001559461059589047056170862401710362531210344252643150035139661560578991699908831673617550978,-0.000000679274382194347971663459850414252002476379250575708601251553409700417591420223777769908136537108461146657335412333900669,0.000000679274382194347971663459850414252002476379250575708601251553409700417591420223777769908136537108461146657335412333900669,0.491702810376619915817916553638827596905852296546294228448769062622054576544641249868373913544360081960584581159978782708,0.00000138147345888476324524888176205248420626982866949442947741867055747348078722804372408887008696701900349668779946194039550,0.00000582068428699549016146233484396069820609307438860301558282910778548402934895586223725924619644148524792689756468095240428,0.0000118378096772258333796323505795919365407016969282951677603521484573506378941389556511366036786293231946243641668343030117,-6.792743821645159e-07,5.820684287088929e-06
2,0,raw,S,0.0,0.0,0.0,0.0,4.56264949598957960913376503658915229623176574878320919742500888032375599248743792824793845585723880367290694368957277192,0.0,0.00000905599402737413511347593489401890487522061460338168518856091931859945895068946643127404155331558895729047502542292898928,0.00000198481036847867869035865089593411333154192827478466367546604326222108563355807050605771542516229095246588611591005423530,9.86623976961809e-18,9.055994027340475e-06
2,0,raw,1,0.0,0.0,0.0,0.0,9.12529899197915921826753007317830459246353149756641839485001776064751198497487585649587691171447760734581388737914554383,0.0,0.0000181119880547482702269518697880378097504412292067633703771218386371989179013789328625480831066311779145809500508458498461,0.00000198481036847867869035865089593411333154192827478466367546604326222108563355807050605771542516229095246588611591005334410,1.973247953923618e-17,1.811198805468095e-05
2,0,raw,u,0.0,0.0,0.0,0.0,4.56264949598957960913376503658915229623176574878320919742500888032375599248743792824793845585723880367290694368957277192,0.0,0.00000905599402737413511347593489401890487522061460338168518856091931859945895068946643127404155331558895729047502542292898928,0.00000198481036847867869035865089593411333154192827478466367546604326222108563355807050605771542516229095246588611591005423530,9.86623976961809e-18,9.055994027340475e-06
2,0,raw,u^2,0.0,0.0,0.0,0.0,3.19545233618123862042589788904736266107949414175925763270416357736038159078487102300542045137744303687739823674198169855,0.0,0.0000152009990251286769746238520801129588104970680638982584918509945130325828900640650678871929007767732351641508670377840354,0.00000475707268514441446010745837894017725137886644135112083970579479590153819873497820777111214925116624186370040082297249789,1.5562985266277563e-18,1.5200999025133388e-05
2,0,raw,window,0.0,0.0,0.0,0.0,0.459482758134849864818744585963321991313170205304886787913554817705755411629148866884021746162250149519961742052985506499,0.0,0.00000506461603149307990432016301948268314717902477776085529882763492650487672448864390220114587724819000469746695995987150500,0.0000110224288982062453308048329598060536558818979590581660834444807369530473381609250708379242775515568841948397945766367009,1.010836628366502e-17,5.064616031585922e-06
