object,relative_inf_residual,gate
Trr,7.074298909817456e-14,1e-10
Trv,1.3158923968004732e-18,1e-10
Tvr,1.2586382751740735e-20,1e-10
Tvv_diag,1.5193195650401812e-11,1e-10
Tvv_lower,0.0,1e-10
Tvv_upper,0.0,1e-10
sr,1.1811830656108963e-16,1e-10
sv,7.2802759972012e-15,1e-10
Dtau,3.88086227655713e-16,1e-10
solution,4.335460715534056e-11,1e-10
