temperature_K,3000
A2p_up_s_inv,3740.2480282703159
A2p_dn_s_inv,3759.9654428934414
virtual_index,Eb_eV,Aup_s_inv,Adn_s_inv
100,10.023854,0.029360845025609709,0
101,10.031817999999999,0.0012715847590552994,0.03027941405488415
102,10.039597000000001,0.035829418872680541,0.0013104288444598584
103,10.047192000000001,0.0033046006699608273,0.036897656910951093
104,10.054603,0.044127178094695026,0.0034007045662069742
105,10.061828999999999,0.006491479884743934,0.045377993386105146
106,10.068871,0.054922821894709456,0.006670735818964252
107,10.075729000000001,0.011437505898442444,0.056399306365376087
108,10.082402,0.069258006227993191,0.011736577340642805
109,10.088891,0.019091124971989167,0.071018421143730429
110,10.095196,0.088632341891508371,0.019562458898644778
111,10.101317,0.030994600191894404,0.090755936049835478
112,10.107253,0.11554052823382907,0.031714514577456443
113,10.113004,0.04965485183132709,0.11813962625688477
114,10.118572,0.1537167716765703,0.050735916279941388
115,10.123955,0.079408029924634971,0.15695107213187989
116,10.129153000000001,0.20966887782614768,0.081020826159300049
117,10.134168000000001,0.12764876561838742,0.21377592312745644
118,10.138998000000001,0.29484187352196384,0.13005607799772378
119,10.143643000000001,0.20802729043178944,0.30018736586577133
120,10.148104999999999,0.4292062680560686,0.21164895767758946
121,10.152381999999999,0.34663740214715305,0.43636618760181439
122,10.156475,0.65229621536509752,0.35216918383346013
123,10.160382999999999,0.59577669448096626,0.66223175559832814
124,10.164107,1.0434318106585372,0.60442100426390055
125,10.167647000000001,1.0681490659195627,1.0578181254548695
126,10.171002,1.7800411016015247,1.0821015287933822
127,10.174173,2.0260954387460939,1.8020094739177157
128,10.177160000000001,3.2912446823596775,2.0496411530170726
129,10.179962,4.1565650172314426,3.3271112127495104
130,10.18258,6.753476080767979,4.1988718449951934
131,10.185014000000001,9.5110208519963617,6.8173611511043264
132,10.187263,16.01306837414495,9.5941230286238337
133,10.189328,25.544742359642402,16.141489258375504
134,10.191209000000001,46.97860137627297,25.731284353579152
135,10.192905,89.090082595580228,47.287813597855532
136,10.194417,197.12435230347549,89.612667860492877
137,10.195745000000001,511.17680643659003,198.13957113998742
138,10.196889000000001,1839.5670920486643,513.44387054530307
139,10.197848,11242.14967881279,1846.4037740108242
140,10.199581,1831.5913367332514,11258.414163929026
141,10.200540999999999,512.46002108311632,1838.4054883486699
142,10.201684,196.16970148706244,514.73078516699115
143,10.203011999999999,89.56973706876947,197.18000373422328
144,10.204523999999999,46.489008220211396,90.09513589443587
145,10.20622,25.880548288915627,46.794997949361083
146,10.208100999999999,15.706046128710824,26.069542525538402
147,10.210165999999999,9.7467714658786395,15.832004769771244
148,10.212415,6.543377528809124,9.8319335043716656
149,10.214848999999999,4.3269729222151811,6.6052751543675168
150,10.217466999999999,3.1399018999524904,4.3710142153020639
151,10.220269,2.1527076093505064,3.1741191635668957
152,10.223255999999999,1.6674665023049546,2.1777247123503867
153,10.226426999999999,1.1642830793767387,1.6880455355162969
154,10.229782,0.95780929561824069,1.1794912717142416
155,10.233321999999999,0.66985840392137708,0.97101509009456011
156,10.237045999999999,0.58583641899692873,0.67957758832022785
157,10.240955,0.40454010284828679,0.59476196826331262
158,10.245047,0.37761142059105235,0.4109943297577085
159,10.249324,0.25326641940804706,0.38391064684241161
160,10.253786,0.25437392954954935,0.25767568077816666
161,10.258431,0.16321807458177412,0.25898573680958586
162,10.263261,0.17792726717976917,0.16629618418642783
163,10.268276,0.1073226003138365,0.18141255004207033
164,10.273474,0.12884186458291849,0.10950234820387857
165,10.278858,0.071431044324845774,0.13155328974805383
166,10.284425000000001,0.096260834275464266,0.072985928510828982
167,10.290177,0.047746183211535349,0.098426614003414487
168,10.296113,0.073982834681428633,0.048855188132936281
169,10.302232999999999,0.031722359452763971,0.075755139687550113
170,10.308538,0.058353968705040234,0.032505541390213638
171,10.315027000000001,0.020644990174459768,0.059837222447035716
172,10.3217,0.047170780624956603,0.021184821763663913
173,10.328557999999999,0.012820278962754443,0.04843886778179407
174,10.335599999999999,0.039031178897680575,0.013174298558168207
175,10.342826000000001,0.0071936386181452802,0.040137544577856808
176,10.350237,0.032995581150368519,0.0074028429270576509
177,10.357832,0.0030740313248244196,0.033979329589184031
178,10.365610999999999,0.028470142092410385,0.0031679361427828026
179,10.373575000000001,0,0.029360845025596608
