z,xe,Tm_over_T0_1pz
2000,1.0376532721305269,0.99999937262869998
1600,0.99466099397848995,0.99999892503840004
1300,0.56362156426522103,0.99999755730950002
1100,0.144931836007376,0.99998950272080001
900,0.012672505119675,0.99982752543429998
500,0.00066730683794399999,0.98746251754119996
100,0.00026586945869999998,0.61250678684659998
0,0.00017096155144500001,0.0080465472096999998
