representation,state,residual,jacobian,legacy_metric,corrected_metric
physical_occupation_O_1e_minus_18,1e-18,-100.0,1e+20,1e-18,0.9999999999999999
same_equation_rescaled_to_O_1,1.0,-1e+20,1e+20,1.0,1.0
