angle_index,time,R_normal,dlog_Doppler,R_hydrogen_analytic,R_hydrogen_direct,residual
0,0.15,-0.7650983913660728,0.24286706925087864,-0.5222313221151942,-0.5222313221114881,3.706035478501235e-12
0,0.48571428571428565,-0.7660270798729547,0.2167295197135085,-0.5492975601594462,-0.5492975601704049,-1.0958678409167533e-11
0,0.8214285714285714,-0.7679107446223495,0.17602822563849663,-0.5918825189838529,-0.5918825189715758,1.2277068250909906e-11
0,1.157142857142857,-0.77069643593911,0.12368027011404525,-0.6470161658250647,-0.6470161658148991,1.0165646102677783e-11
0,1.4928571428571427,-0.7743058482487807,0.06298504293554141,-0.7113208053132393,-0.711320805312406,8.3322237998118e-13
0,1.8285714285714283,-0.7786375212414358,-0.0016480855759855029,-0.7802856068174213,-0.7802856068087984,8.622880187658666e-12
0,2.164285714285714,-0.7835696919133991,-0.06450993804771843,-0.8480796299611175,-0.848079629965174,-4.056532887375397e-12
0,2.4999999999999996,-0.7889637173161657,-0.11914679282964769,-0.9081105101458133,-0.9081105101560459,-1.023259255106268e-11
0,2.8357142857142854,-0.7946679717993087,-0.15937330668748684,-0.9540412784867955,-0.9540412785160229,-2.9227398279374484e-11
0,3.1714285714285713,-0.8005221091961673,-0.1802266683356063,-0.9807487775317736,-0.9807487775533491,-2.157551914905298e-11
0,3.5071428571428567,-0.8063615701425921,-0.1786415665885448,-0.9850031367311369,-0.9850031367201564,1.0980549802752648e-11
0,3.8428571428571425,-0.8120222078283571,-0.15406189647676694,-0.966084104305124,-0.9660841043053942,-2.701172618913006e-13
0,4.178571428571429,-0.8173449021517116,-0.10918978059197026,-0.9265346827436819,-0.9265346827325159,1.116595704786505e-11
0,4.514285714285714,-0.8221800325735336,-0.05051903543205871,-0.8726990680055923,-0.8726990680144966,-8.904321724401143e-12
0,4.85,-0.8263916839394876,0.012201666130024158,-0.8141900178094634,-0.8141900178189794,-9.515943588667142e-12
1,0.15,-0.7650983913660728,-0.2512529372631075,-1.0163513286291803,-1.0163513286291317,4.8627768478581856e-14
1,0.48571428571428565,-0.7660270798729547,-0.24051834289437157,-1.0065454227673263,-1.0065454227716855,-4.359179683888215e-12
1,0.8214285714285714,-0.7679107446223495,-0.20558508600765557,-0.9734958306300051,-0.9734958306200264,9.978684545330907e-12
1,1.157142857142857,-0.77069643593911,-0.14647894822657626,-0.9171753841656862,-0.9171753841528498,1.283639861071606e-11
1,1.4928571428571427,-0.7743058482487807,-0.06928751141167566,-0.8435933596604563,-0.8435933596599257,5.306866057708248e-13
1,1.8285714285714283,-0.7786375212414358,0.013276580951352535,-0.7653609402900833,-0.7653609402876367,2.4465984793664575e-12
1,2.164285714285714,-0.7835696919133991,0.08592049605370966,-0.6976491958596894,-0.6976491958613864,-1.6969758931395518e-12
1,2.4999999999999996,-0.7889637173161657,0.1372567068256445,-0.6517070104905212,-0.6517070104868534,3.667732784151667e-12
1,2.8357142857142854,-0.7946679717993087,0.1635217191234718,-0.6311462526758369,-0.6311462527034776,-2.764066753258021e-11
1,3.1714285714285713,-0.8005221091961673,0.16739266678304576,-0.6331294424131215,-0.6331294424325821,-1.9460544287142056e-11
1,3.5071428571428567,-0.8063615701425921,0.15440528469768655,-0.6519562854449056,-0.651956285444936,-3.042011087472929e-14
1,3.8428571428571425,-0.8120222078283571,0.1300562754263257,-0.6819659324020314,-0.6819659324123575,-1.0326073329736118e-11
1,4.178571428571429,-0.8173449021517116,0.09858838513568646,-0.7187565170160252,-0.7187565170263531,-1.0327960708877981e-11
1,4.514285714285714,-0.8221800325735336,0.06298766222812113,-0.7591923703454124,-0.759192370345755,-3.426148253993233e-13
1,4.85,-0.8263916839394876,0.02550616980320808,-0.8008855141362795,-0.8008855141239389,1.2340573007918465e-11
2,0.15,-0.7650983913660728,-0.01855261810953024,-0.7836510094756031,-0.7836510094749495,6.535882945968297e-13
2,0.48571428571428565,-0.7660270798729547,-0.059826632915493616,-0.8258537127884483,-0.8258537127884407,7.66053886991358e-15
2,0.8214285714285714,-0.7679107446223495,-0.09987457907854169,-0.8677853237008912,-0.8677853236942663,6.624922832543234e-12
2,1.157142857142857,-0.77069643593911,-0.13636539970634165,-0.9070618356454516,-0.9070618356338266,1.1625034268547552e-11
2,1.4928571428571427,-0.7743058482487807,-0.16492044606540368,-0.9392262943141844,-0.9392262943053175,8.866907208471275e-12
2,1.8285714285714283,-0.7786375212414358,-0.17913256695281354,-0.9577700881942494,-0.9577700881798396,1.4409806681214832e-11
2,2.164285714285714,-0.7835696919133991,-0.17197114629651966,-0.9555408382099188,-0.9555408382192856,-9.366840636459983e-12
2,2.4999999999999996,-0.7889637173161657,-0.13878123171144807,-0.9277449490276137,-0.9277449490382079,-1.0594192190183094e-11
2,2.8357142857142854,-0.7946679717993087,-0.08076573898794137,-0.8754337107872501,-0.8754337108081895,-2.0939472378245227e-11
2,3.1714285714285713,-0.8005221091961673,-0.006511401881673318,-0.8070335110778406,-0.807033511109519,-3.167843765083944e-11
2,3.5071428571428567,-0.8063615701425921,0.07035822520946144,-0.7360033449331307,-0.7360033449255176,7.613132346762086e-12
2,3.8428571428571425,-0.8120222078283571,0.1363541045330473,-0.6756681032953098,-0.6756681032893396,5.970224314921779e-12
2,4.178571428571429,-0.8173449021517116,0.18255714606937667,-0.634787756082335,-0.6347877560819447,3.902433931557425e-13
2,4.514285714285714,-0.8221800325735336,0.20582758582324,-0.6163524467502935,-0.6163524467528435,-2.5499602429590595e-12
2,4.85,-0.8263916839394876,0.20735618449531346,-0.6190354994441741,-0.6190354994569287,-1.2754575173801186e-11
3,0.15,-0.7650983913660728,0.04018955554475856,-0.7249088358213143,-0.7249088358145712,6.743050562363351e-12
3,0.48571428571428565,-0.7660270798729547,0.12197706430908739,-0.6440500155638673,-0.6440500155691086,-5.2412518769529015e-12
3,0.8214285714285714,-0.7679107446223495,0.1807061438765002,-0.5872046007458493,-0.5872046007410202,4.829137090212043e-12
3,1.157142857142857,-0.77069643593911,0.20834780643676043,-0.5623486295023495,-0.5623486294931145,9.235057163436977e-12
3,1.4928571428571427,-0.7743058482487807,0.20454526133314477,-0.5697605869156359,-0.5697605869196357,-3.9998004908170515e-12
3,1.8285714285714283,-0.7786375212414358,0.17459120854125776,-0.6040463127001781,-0.6040463126984659,1.7121859485769164e-12
3,2.164285714285714,-0.7835696919133991,0.12667550970649522,-0.6568941822069039,-0.6568941822160389,-9.13502606891825e-12
3,2.4999999999999996,-0.7889637173161657,0.06943843248708059,-0.7195252848290851,-0.7195252848285482,5.369038547087257e-13
3,2.8357142857142854,-0.7946679717993087,0.010203841737380093,-0.7844641300619286,-0.7844641300861857,-2.425704082043012e-11
3,3.1714285714285713,-0.8005221091961673,-0.04587246934724942,-0.8463945785434167,-0.8463945785649092,-2.1492474466811018e-11
3,3.5071428571428567,-0.8063615701425921,-0.09570955974751383,-0.902071129890106,-0.9020711298805364,9.569567360756537e-12
3,3.8428571428571425,-0.8120222078283571,-0.13756954324503357,-0.9495917510733907,-0.9495917510760065,-2.6157964683193313e-12
3,4.178571428571429,-0.8173449021517116,-0.17014253852799988,-0.9874874406797115,-0.9874874406956556,-1.5944134901246798e-11
3,4.514285714285714,-0.8221800325735336,-0.19181228273093387,-1.0139923153044674,-1.0139923153074102,-2.94275714907144e-12
3,4.85,-0.8263916839394876,-0.2003409195289101,-1.0267326034683977,-1.0267326034744486,-6.050937528812028e-12
4,0.15,-0.7650983913660728,0.09300330826193082,-0.672095083104142,-0.6720950831008246,3.3174574198824303e-12
4,0.48571428571428565,-0.7660270798729547,0.09310401704602389,-0.6729230628269308,-0.6729230628272722,-3.4139358007223564e-13
4,0.8214285714285714,-0.7679107446223495,0.08309153168104932,-0.6848192129413002,-0.6848192129380961,3.2041036490682018e-12
4,1.157142857142857,-0.77069643593911,0.06272614326037462,-0.7079702926787353,-0.7079702926654495,1.3285816891084323e-11
4,1.4928571428571427,-0.7743058482487807,0.033236793305004064,-0.7410690549437766,-0.7410690549464193,-2.64266386551526e-12
4,1.8285714285714283,-0.7786375212414358,-0.0024002522940446136,-0.7810377735354804,-0.7810377735265974,8.88300544232834e-12
4,2.164285714285714,-0.7835696919133991,-0.03968177226003888,-0.823251464173438,-0.823251464182606,-9.167999692749618e-12
4,2.4999999999999996,-0.7889637173161657,-0.07344323148909504,-0.8624069488052607,-0.8624069488187094,-1.3448686608796834e-11
4,2.8357142857142854,-0.7946679717993087,-0.09904414014916962,-0.8937121119484783,-0.893712111976752,-2.8273716701221474e-11
4,3.1714285714285713,-0.8005221091961673,-0.1132849269537467,-0.913807036149914,-0.9138070361569549,-7.04092339987028e-12
4,3.5071428571428567,-0.8063615701425921,-0.11472167407344325,-0.9210832442160354,-0.9210832442226498,-6.614375713809295e-12
4,3.8428571428571425,-0.8120222078283571,-0.10351563752900028,-0.9155378453573574,-0.9155378453640227,-6.66533495063959e-12
4,4.178571428571429,-0.8173449021517116,-0.08116239585159857,-0.8985072980033102,-0.8985072980120337,-8.723466393689705e-12
4,4.514285714285714,-0.8221800325735336,-0.05030586957115435,-0.8724859021446879,-0.8724859021536079,-8.919975869048358e-12
4,4.85,-0.8263916839394876,-0.01459033736470916,-0.8409820213041967,-0.8409820213032639,9.328093852900565e-13
5,0.15,-0.7650983913660728,-0.08539124672899046,-0.8504896380950633,-0.8504896380939994,1.0639267244982875e-12
5,0.48571428571428565,-0.7660270798729547,-0.07026246962145266,-0.8362895494944074,-0.8362895494979279,-3.5205172110863714e-12
5,0.8214285714285714,-0.7679107446223495,-0.05052602991720767,-0.8184367745395572,-0.818436774531935,7.622236175564012e-12
5,1.157142857142857,-0.77069643593911,-0.02885390888865258,-0.7995503448277625,-0.7995503448141038,1.3658740805055913e-11
5,1.4928571428571427,-0.7743058482487807,-0.007701244212116931,-0.7820070924608976,-0.7820070924656011,-4.703459843824476e-12
5,1.8285714285714283,-0.7786375212414358,0.011207686128257177,-0.7674298351131786,-0.7674298351125393,6.393774398816277e-13
5,2.164285714285714,-0.7835696919133991,0.027170204596654868,-0.7563994873167442,-0.7563994873246067,-7.862488438092896e-12
5,2.4999999999999996,-0.7889637173161657,0.040316720963865293,-0.7486469963523004,-0.7486469963606059,-8.305578447220796e-12
5,2.8357142857142854,-0.7946679717993087,0.05104407565805147,-0.7436238961412572,-0.7436238961618564,-2.0599189021197617e-11
5,3.1714285714285713,-0.8005221091961673,0.05947568544962878,-0.7410464237465385,-0.7410464237670813,-2.054278969154666e-11
5,3.5071428571428567,-0.8063615701425921,0.06525891300490039,-0.7411026571376917,-0.7411026571424449,-4.753197835327683e-12
5,3.8428571428571425,-0.8120222078283571,0.0676833541209726,-0.7443388537073845,-0.7443388537290798,-2.1695312213410034e-11
5,4.178571428571429,-0.8173449021517116,0.06592287616815196,-0.7514220259835597,-0.7514220259944673,-1.0907608150034775e-11
5,4.514285714285714,-0.8221800325735336,0.05925542437259834,-0.7629246082009352,-0.7629246081997109,1.2243539515566226e-12
5,4.85,-0.8263916839394876,0.04723617530649493,-0.7791555086329927,-0.7791555086326487,3.439470930288735e-13
6,0.15,-0.7650983913660728,0.04250770766463985,-0.722590683701433,-0.7225906837048331,-3.4001690352170044e-12
6,0.48571428571428565,-0.7660270798729547,0.010915351811365714,-0.755111728061589,-0.7551117280635751,-1.9860779687519425e-12
6,0.8214285714285714,-0.7679107446223495,-0.023025086772228698,-0.7909358313945782,-0.7909358313904398,4.1384673465927335e-12
6,1.157142857142857,-0.77069643593911,-0.05818739275523843,-0.8288838286943484,-0.8288838286824028,1.1945555655756834e-11
6,1.4928571428571427,-0.7743058482487807,-0.09200987972876962,-0.8663157279775503,-0.8663157279783136,-7.632783294297951e-13
6,1.8285714285714283,-0.7786375212414358,-0.12018763224990592,-0.8988251534913417,-0.8988251534826814,8.660294703588534e-12
6,2.164285714285714,-0.7835696919133991,-0.13718424520932648,-0.9207539371227256,-0.920753937129944,-7.218448061507843e-12
6,2.4999999999999996,-0.7889637173161657,-0.13773709904851483,-0.9267008163646805,-0.9267008163782452,-1.3564704914870163e-11
6,2.8357142857142854,-0.7946679717993087,-0.11891048191418996,-0.9135784537134987,-0.9135784537391463,-2.564759515877313e-11
6,3.1714285714285713,-0.8005221091961673,-0.08172358063485019,-0.8822456898310175,-0.8822456898519939,-2.0976442804965245e-11
6,3.5071428571428567,-0.8063615701425921,-0.03142767564412241,-0.8377892457867145,-0.8377892457833712,3.3433256163561964e-12
6,3.8428571428571425,-0.8120222078283571,0.02383869458244392,-0.7881835132459132,-0.7881835132413546,4.558575739110893e-12
6,4.178571428571429,-0.8173449021517116,0.0754027831136781,-0.7419421190380335,-0.7419421190405875,-2.55395704584771e-12
6,4.514285714285714,-0.8221800325735336,0.11627300763488169,-0.7059070249386519,-0.7059070249411843,-2.532418719169982e-12
6,4.85,-0.8263916839394876,0.14232016344119258,-0.684071520498295,-0.6840715204995775,-1.2825296380469808e-12
7,0.15,-0.7650983913660728,-0.06843250982844973,-0.8335309011945226,-0.8335309011909171,3.605449272470196e-12
7,0.48571428571428565,-0.7660270798729547,-0.09450642412797194,-0.8605335040009267,-0.8605335039948979,6.028733068319525e-12
7,0.8214285714285714,-0.7679107446223495,-0.11645850966280924,-0.8843692542851588,-0.8843692542800003,5.158429239315865e-12
7,1.157142857142857,-0.77069643593911,-0.13204562149268262,-0.9027420574317926,-0.9027420574218383,9.954259638789154e-12
7,1.4928571428571427,-0.7743058482487807,-0.13765668998494218,-0.9119625382337229,-0.9119625382294123,4.310551915409633e-12
7,1.8285714285714283,-0.7786375212414358,-0.12896515933359054,-0.9076026805750264,-0.9076026805702555,4.770850381419223e-12
7,2.164285714285714,-0.7835696919133991,-0.10269049089734417,-0.8862601828107433,-0.886260182826152,-1.5408785358772548e-11
7,2.4999999999999996,-0.7889637173161657,-0.0589778641578369,-0.8479415814740026,-0.8479415814999224,-2.5919821844411217e-11
7,2.8357142857142854,-0.7946679717993087,-0.00285534661556619,-0.7975233184148749,-0.7975233184409624,-2.6087465521129616e-11
