target_z,model,error_2_to_4,error_4_to_8,error_8_to_16,refinement_ratio_24_48,refinement_ratio_48_816,minimum_occupation,pointwise_spread,classification
900,Bianchi_II_large_shear,5.908904178730801e-07,1.4830316699687707e-07,3.67222358632624e-08,3.98434119674277,4.038511368128385,0.06241093107491471,0.0001241240859748624,MANUFACTURED_SMOOTH_ISOTROPIC_SOURCE_CHARACTERISTIC_REFINEMENT
900,Bianchi_VI_h_tilted_large_shear,8.960954127820719e-07,2.238411164132148e-07,5.5649831284809714e-08,4.003265473032503,4.022314376257865,0.0593574032493148,0.000174588784691114,MANUFACTURED_SMOOTH_ISOTROPIC_SOURCE_CHARACTERISTIC_REFINEMENT
900,Bianchi_VI_minus_1_over_9_exceptional,4.869761163900366e-07,1.2159923688803698e-07,3.0402330347678586e-08,4.004762931517588,3.9996682983652225,0.05750130485660259,9.086839783786077e-05,MANUFACTURED_SMOOTH_ISOTROPIC_SOURCE_CHARACTERISTIC_REFINEMENT
1100,Bianchi_II_large_shear,5.908904178869578e-07,1.4830316699687707e-07,3.67222358632624e-08,3.9843411968363474,4.038511368128385,0.06241093107492067,0.00012412408597485547,MANUFACTURED_SMOOTH_ISOTROPIC_SOURCE_CHARACTERISTIC_REFINEMENT
1100,Bianchi_VI_h_tilted_large_shear,8.960954127820719e-07,2.238411164201537e-07,5.564983127787082e-08,4.003265472908405,4.02231437688409,0.05935740324932081,0.00017458878469110706,MANUFACTURED_SMOOTH_ISOTROPIC_SOURCE_CHARACTERISTIC_REFINEMENT
1100,Bianchi_VI_minus_1_over_9_exceptional,4.869761163969755e-07,1.2159923688803698e-07,3.0402330347678586e-08,4.004762931574652,3.9996682983652225,0.057501304856608614,9.086839783787465e-05,MANUFACTURED_SMOOTH_ISOTROPIC_SOURCE_CHARACTERISTIC_REFINEMENT
1300,Bianchi_II_large_shear,5.908904178869578e-07,1.4830316699687707e-07,3.67222358632624e-08,3.9843411968363474,4.038511368128385,0.06241093107494727,0.00012412408597486935,MANUFACTURED_SMOOTH_ISOTROPIC_SOURCE_CHARACTERISTIC_REFINEMENT
1300,Bianchi_VI_h_tilted_large_shear,8.960954127820719e-07,2.238411164201537e-07,5.564983127787082e-08,4.003265472908405,4.02231437688409,0.05935740324934762,0.00017458878469110012,MANUFACTURED_SMOOTH_ISOTROPIC_SOURCE_CHARACTERISTIC_REFINEMENT
1300,Bianchi_VI_minus_1_over_9_exceptional,4.869761163969755e-07,1.2159923688803698e-07,3.040233034073969e-08,4.004762931574652,3.999668299278089,0.05750130485663552,9.086839783789546e-05,MANUFACTURED_SMOOTH_ISOTROPIC_SOURCE_CHARACTERISTIC_REFINEMENT
