column,production_sum_sInv,high_resolution_sum_sInv,relative_difference_production_minus_reference
A1s,539048.6958799997,614497.9538979998,-0.12278195157428294
A2s,581.0095394313349,1687.395973501696,-0.655676824790793
A3s3d,94818.3773122503,107846.73122692923,-0.12080434674709695
A4s4d,30654.52930717072,35383.72871081555,-0.13365463663526456
