lane,member,sha256,size_bytes,rows,columns,nsublya,nsublyb,ndiff,diffusion_start,diffusion_stop_exclusive,energy_min_eV,energy_max_eV,strictly_monotone,diffusion_x_min,diffusion_x_max,centres_inside_core,explicit_edge_column
production,HyRec/two_photon_tables.dat,93d23871e21c40f5b72a6ef9acf3eb7be054735c8aee9401e455736c1d9d8cf9,25191,311,5,140,271,80,100,180,5.1790432,12.74328,True,-731.077111133499,730.0623301756877,2,False
high_resolution_reference,HyRec/two_photon_tables_hires.dat,db201c729a38c7919172cf080c8ba44cdf8e6b131a6eaa8adcbc9e58fd4d0c93,103017,1493,5,408,1323,300,258,558,5.186333,12.74583,True,-1191.8369164253183,711.9924170630526,2,False
