measure,mass_sInv_per_H,support_min_x,support_max_x,normalized_M0,normalized_M1,normalized_M2,normalized_M3,normalized_M4,target_M2_over_M0_bound,violates_target_support_M2_bound
full_311_native_physical_edge,7.462909149794286e-14,-20972.767331511208,10630.724400133124,1.0,-8962.883980552322,134470774.9773356,-2188476252952.4253,3.768261588242345e+16,18.0625,True
diffusion_80_native_physical_edge,1.978154660086748e-14,-731.077111133499,730.0623301756877,1.0,70.69068163099067,21808.728753005056,3888100.505135887,4955057090.105407,18.0625,True
core_restricted_two_centres,1.2956938715786924e-16,-4.127640123326414,3.112859165506483,1.0,0.2471454843949972,12.597963858433712,-9.608660226136685,171.61892964006066,18.0625,False
