state,exact_norm_sInv,relative_to_hummer,relative_to_v033,number_residual
smooth_L8,0.0006112890219523244,0.9731626616820485,0.05180800122555069,2.943496070862592e-17
smooth_L2,0.002260735049650284,0.2627589468315936,0.013347817643045762,8.866883828667865e-17
narrow_core,0.03494992900184014,0.017211730313574067,0.0004417119534971395,4.7318648565414234e-17
odd_red_blue,0.04038043416145496,0.014033960731720531,0.0008715302035211924,3.5499243463656333e-17
