ell,same_cell_exact_norm_sInv,same_cell_correction_norm_sInv,same_cell_relative_to_hummer,full_operator_relative_to_hummer,full_operator_relative_to_v033
0,0.0,0.0,0.0,0.00035252341726971394,0.00035322587539293455
1,0.33792005482403453,0.00012801128554960518,0.00037882121443269957,0.00018938336979524878,0.0003042830062868024
2,0.2982627930965912,9.368935350669327e-05,0.0003141167979217319,0.0001130450275219418,0.0002553443553678065
3,0.3685975843967605,8.692309875292518e-05,0.00023582112968857842,6.414819749626848e-05,0.00022284851504717637
4,0.362922890447855,0.0001051335642628425,0.0002896856798784594,3.767165040037658e-05,0.00022697614037086604
5,0.3812027669685666,8.86094008614571e-05,0.0002324468984475228,2.297840099561976e-05,0.00021316579619859723
6,0.3768900015966926,9.813127732200102e-05,0.0002603711345651738,1.8999728547107597e-05,0.00021832904967087501
