ell,weighted_quadratic_form
1,-0.1117503430796658
2,-0.9552673290783177
3,-0.6476162083875405
4,-1.4041520800496494
5,-0.01804216889722835
6,-0.5628059598575818
7,-1.9664763748602239
8,-0.5555687292393497
9,-1.4329175733148711
10,-1.2413106946793784
11,-0.7110077337061522
12,-1.0939125198573387
13,-1.470664185838664
14,-0.8933406383453708
15,-0.07706403883872533
16,-0.28007951612286863
17,-1.1055215147201587
18,-1.8256381182395198
19,-0.5821079651650265
20,-0.33852073281488015
21,-1.477151700687795
22,-0.3937425804400081
23,-0.23032941609083338
24,-0.4846903443301007
