cell,x_center,exact_L0_sInv,hummer_L0_sInv,correction_L0_sInv,exact_L1_sInv,hummer_L1_sInv,correction_L1_sInv,exact_L2_sInv,hummer_L2_sInv,correction_L2_sInv,exact_L4_sInv,hummer_L4_sInv,correction_L4_sInv,exact_L6_sInv,hummer_L6_sInv,correction_L6_sInv,exact_L8_sInv,hummer_L8_sInv,correction_L8_sInv,exact_L12_sInv,hummer_L12_sInv,correction_L12_sInv,exact_L16_sInv,hummer_L16_sInv,correction_L16_sInv,exact_L20_sInv,hummer_L20_sInv,correction_L20_sInv,exact_L24_sInv,hummer_L24_sInv,correction_L24_sInv
0,-4.0,0.0,0.0,0.0,-4.600462932312538e-06,-4.598992453160145e-06,-1.470479152393155e-09,-5.2122084564501955e-06,-5.210838102884607e-06,-1.370353565588491e-09,-6.382360273377345e-06,-6.3808049131440035e-06,-1.5553602333414555e-09,-6.623934675063533e-06,-6.622373220282745e-06,-1.5614547807884615e-09,-6.704735948066223e-06,-6.703177214780493e-06,-1.5587332857298675e-09,-6.748508973790693e-06,-6.746955138290961e-06,-1.5538354997312795e-09,-6.756788420761463e-06,-6.755236247977703e-06,-1.5521727837602758e-09,-6.759026426895997e-06,-6.757474604535433e-06,-1.5518223605641933e-09,-6.759997739217969e-06,-6.758445949613861e-06,-1.5517896041077512e-09
1,-3.5,0.0,0.0,0.0,-6.118765812946532e-06,-6.116878482945948e-06,-1.8873300005839514e-09,-7.0290020143535954e-06,-7.0273582175688286e-06,-1.6437967847668795e-09,-8.714891188340905e-06,-8.713201026301289e-06,-1.6901620396165938e-09,-9.11245794119255e-06,-9.110883671331698e-06,-1.5742698608521387e-09,-9.25141212071227e-06,-9.249895692146677e-06,-1.5164285655933226e-09,-9.32606624192843e-06,-9.32458520265161e-06,-1.4810392768190966e-09,-9.340549436287371e-06,-9.339076641176495e-06,-1.4727951108761895e-09,-9.344602958866627e-06,-9.343132447081331e-06,-1.4705117852954421e-09,-9.346353098630999e-06,-9.344883378727499e-06,-1.4697199035002521e-09
2,-3.0,0.0,0.0,0.0,-9.420991127391952e-06,-9.419071299789131e-06,-1.9198276028206045e-09,-1.230373885490969e-05,-1.2303479385614639e-05,-2.594692950521314e-10,-1.7747479319569917e-05,-1.7749986012923974e-05,2.5066933540572394e-09,-1.9948162434245666e-05,-1.9952568917866676e-05,4.406483621009218e-09,-2.0716614754579127e-05,-2.072178312538092e-05,5.168370801791861e-09,-2.1111534034920352e-05,-2.1117105941838562e-05,5.571906918209915e-09,-2.1194142794876005e-05,-2.119980246209352e-05,5.659667217515648e-09,-2.1218918840968666e-05,-2.1224603581327218e-05,5.684740358551506e-09,-2.1229521653301853e-05,-2.1235216120855217e-05,5.694467553363393e-09
3,-2.5,0.0,0.0,0.0,-3.3638790294682633e-05,-3.364071225496929e-05,1.9219602866545537e-09,-6.873727062431705e-05,-6.875096214409598e-05,1.3691519778927068e-08,-0.00013006924286185418,-0.00013010961749656115,4.0374634706970714e-08,-0.000155066110656576,-0.00015512311961509592,5.7008958519909813e-08,-0.00016267667286310055,-0.00016273952222445662,6.284936135606922e-08,-0.00016671160589488865,-0.00016677758293073516,6.597703584650832e-08,-0.00016756023242116147,-0.00016762688724344344,6.665482228196493e-08,-0.00016781378844676006,-0.00016788062745249643,6.68390057363688e-08,-0.0001679224246624632,-0.00016798933246782433,6.690780536113884e-08
4,-2.0,0.0,0.0,0.0,-0.0003228941200066803,-0.00032285342615625927,-4.0693850421053956e-08,-0.0007619090843800045,-0.0007618588015835978,-5.028279640665462e-08,-0.0013864222484628083,-0.001386484869198631,6.262073582266083e-08,-0.0015774855044401294,-0.0015776335394794994,1.48035039370005e-07,-0.0016348252826749437,-0.0016349982288300507,1.7294615510705935e-07,-0.0016660048725389404,-0.0016661926118949095,1.8773935596904344e-07,-0.0016723839922442576,-0.0016725749090464568,1.9091680219921782e-07,-0.0016742393641441331,-0.0016744310838547982,1.917197106650597e-07,-0.0016750371382296945,-0.001675229131044268,1.9199281457347138e-07
5,-1.5,0.0,0.0,0.0,-0.0028989568312531443,-0.00289778555016741,-1.171281085734447e-06,-0.00647331977123558,-0.006471306268721991,-2.0135025135883944e-06,-0.01014279174651023,-0.010141201166676809,-1.5905798334218263e-06,-0.011037797727559496,-0.011036388357707715,-1.4093698517802372e-06,-0.011317479395217165,-0.011316150834372596,-1.3285608445687963e-06,-0.011473931830329511,-0.01147264031172617,-1.2915186033413129e-06,-0.011504522441197935,-0.011503240352357303,-1.2820888406327863e-06,-0.01151312156860113,-0.01151184152726903,-1.2800413320985388e-06,-0.011516838109635434,-0.011515558665254257,-1.2794443811775524e-06
6,-1.0,0.0,0.0,0.0,-0.018670716275399284,-0.018658476358936964,-1.2239916462319922e-05,-0.03595384135664963,-0.03593723105844154,-1.6610298208083463e-05,-0.04667874515841872,-0.04666506720457468,-1.3677953844042079e-05,-0.04970396091980374,-0.04969044767343613,-1.351324636760659e-05,-0.050588263419851724,-0.050574631567549835,-1.3631852301888847e-05,-0.05105295571869735,-0.05103946274953085,-1.349296916650089e-05,-0.051148190173948484,-0.05113470306533026,-1.3487108618225052e-05,-0.05117312249458026,-0.051159639084604136,-1.3483409976124128e-05,-0.051184120994018756,-0.05117063850173804,-1.348249228071835e-05
7,-0.5,0.0,0.0,0.0,-0.09209126107670988,-0.09200152585837534,-8.973521833453846e-05,-0.12718714446639529,-0.12712303175581247,-6.411271058281987e-05,-0.1466594936673976,-0.14658640751324495,-7.308615415266284e-05,-0.14975820751104701,-0.149690126307943,-6.808120310400345e-05,-0.15150816258880057,-0.15144272344139828,-6.543914740228529e-05,-0.15275541590342567,-0.15269013044031943,-6.528546310624606e-05,-0.15295779259911904,-0.15289216628712196,-6.562631199708013e-05,-0.15299709995098462,-0.15293143786885707,-6.566208212754887e-05,-0.1530150272259127,-0.15294938272429962,-6.564450161308799e-05
8,0.0,0.0,0.0,0.0,-0.3107218713523835,-0.31072249963352905,6.282811455537995e-07,-0.23231929061704032,-0.232319398873383,1.0825634266797834e-07,-0.2901258694182391,-0.29012606628171733,1.9686347824121597e-07,-0.30338896209388844,-0.3033892109650994,2.4887121097272313e-07,-0.30785319821694523,-0.30785347570989147,2.7749294623236054e-07,-0.3102567868831144,-0.31025708938390745,3.025007930257395e-07,-0.31070065246981965,-0.3107009647020686,3.1223224894461055e-07,-0.31081739682156245,-0.31081771462008484,3.1779852238678075e-07,-0.3108680209463718,-0.3108683427379181,3.217915462983001e-07
9,0.5,0.0,0.0,0.0,-0.09191190451889197,-0.09200152585837534,8.962133948337003e-05,-0.12705894077541646,-0.1271230317558125,6.4090980396031e-05,-0.14651338391590146,-0.14658640751324498,7.302359734351338e-05,-0.14962211443685255,-0.14969012630794304,6.801187109048423e-05,-0.15137734659477778,-0.1514427234413983,6.537684662052956e-05,-0.15262489995005338,-0.15269013044031948,6.523049026610495e-05,-0.15282659560766326,-0.152892166287122,6.55706794587263e-05,-0.15286583220437924,-0.1529314378688571,6.560566447785798e-05,-0.15288379480897318,-0.15294938272429964,6.558791532645936e-05
10,1.0,0.0,0.0,0.0,-0.018646247700536238,-0.018658476358936985,1.2228658400746661e-05,-0.03592063046585395,-0.03593723105844154,1.660059258759561e-05,-0.046651398168153155,-0.04666506720457469,1.3669036421533332e-05,-0.049676942329457824,-0.04969044767343614,1.3505343978315043e-05,-0.050561008250343785,-0.05057463156754984,1.3623317206057362e-05,-0.05102597838354511,-0.051039462749530855,1.3484365985742819e-05,-0.05112122455029558,-0.051134703065330266,1.3478515034685834e-05,-0.05114616428034062,-0.05115963908460414,1.3474804263523266e-05,-0.051157164613284754,-0.05117063850173805,1.3473888453297e-05
11,1.5,0.0,0.0,0.0,-0.002896615200975012,-0.0028977855501674064,1.1703491923941746e-06,-0.006469294176437265,-0.006471306268721992,2.012092284726756e-06,-0.010139611891162983,-0.01014120116667681,1.5892755138267878e-06,-0.011034980566097207,-0.011036388357707717,1.4077916105099259e-06,-0.011314823884230938,-0.011316150834372598,1.3269501416592056e-06,-0.011471350431999093,-0.011472640311726172,1.2898797270791823e-06,-0.011501959908386069,-0.011503240352357304,1.2804439712358479e-06,-0.011510563133077101,-0.011511841527269032,1.278394191931223e-06,-0.011514280868683198,-0.011515558665254258,1.2777965710600303e-06
12,2.0,0.0,0.0,0.0,-0.0003228128011263715,-0.0003228534261562595,4.0625029887960025e-08,-0.0007618086721297431,-0.0007618588015835986,5.012945385543272e-08,-0.0013865477490579974,-0.0013864848691986314,-6.287985936602979e-08,-0.0015777819032398843,-0.0015776335394794999,-1.4836376038438945e-07,-0.0016351715272244704,-0.0016349982288300512,-1.7329839441921312e-07,-0.0016663807173730796,-0.0016661926118949099,-1.8810547816974256e-07,-0.001672766195316972,-0.0016725749090464573,-1.912862705147518e-07,-0.0016746231739980704,-0.0016744310838547986,-1.9209014327174062e-07,-0.0016754214946363931,-0.0016752291310442684,-1.9236359212471132e-07
13,2.5,0.0,0.0,0.0,-3.3642641017808625e-05,-3.364071225496934e-05,-1.928762839282464e-09,-6.876467471351324e-05,-6.875096214409602e-05,-1.3712569417223585e-08,-0.00013015004213497752,-0.0001301096174965612,-4.042463841631445e-08,-0.00015518019623875784,-0.00015512311961509597,-5.707662366187267e-08,-0.0001628024462628382,-0.00016273952222445667,-6.292403838153754e-08,-0.00016684363850070079,-0.0001667775829307352,-6.605556996557623e-08,-0.00016769362151761397,-0.0001676268872434435,-6.673427417047402e-08,-0.00016794754618060408,-0.00016788062745249648,-6.691872810759723e-08,-0.00016805632009608902,-0.00016798933246782438,-6.698762826463423e-08
