b,source_row_1based,source_line_1based,energy_eV_lexeme,energy_eV,raw_A2s_s_inv_lexeme,raw_A2s_s_inv,normalization_id,normalization_factor,normalized_A2s_s_inv,normalized_A2s_binary64_hex,companion_energy_eV_from_decimal_tokens,companion_energy_eV_binary64,tracked_definition,companion_definition,tracked_domain_lower_eV,tracked_domain_upper_eV,companion_domain_lower_eV,companion_domain_upper_eV,original_bin_integral_lower_eV,original_bin_integral_upper_eV,original_bin_integral_status,rate_quantity,event_to_tracked_relation,extra_multiplicity_applied,source_correspondence,physical_pair_correspondence,B_status,mu_status
0,1,1,5.1790432,5.1790431999999997,0.33259349,0.33259348999999999,NORM_READ_TWOG_287_290,0.99951599327008589,0.33243251251251438,0x1.5469304579336p-2,5.019671353953742,5.0196713539537425,HIGH_ENERGY_Et_EQUALS_Eb,LOW_ENERGY_Ec_EQUALS_E21_MINUS_Eb,5.0993572769768711,10.198714553953742,0,5.0993572769768711,,,UNRESOLVED_ORIGINAL_INTEGRATION_REGION,SPONTANEOUS_EVENT_COEFFICIENT_s^-1_NOT_REALIZED_RATE,ONE_HIGH_ENERGY_TRACKED_PHOTON_PER_EVENT,NONE,DIRECT_ROW_COLUMN_READER_NORMALIZATION,CONDITIONAL_DERIVATION_NOT_NATIVE_PAIRED_STORAGE,UNRESOLVED,UNRESOLVED
1,2,2,5.3383879,5.3383878999999999,0.33232657,0.33232656999999999,NORM_READ_TWOG_287_290,0.99951599327008589,0.33216572170359071,0x1.5423403e46d1cp-2,4.860326653953742,4.8603266539537424,HIGH_ENERGY_Et_EQUALS_Eb,LOW_ENERGY_Ec_EQUALS_E21_MINUS_Eb,5.0993572769768711,10.198714553953742,0,5.0993572769768711,,,UNRESOLVED_ORIGINAL_INTEGRATION_REGION,SPONTANEOUS_EVENT_COEFFICIENT_s^-1_NOT_REALIZED_RATE,ONE_HIGH_ENERGY_TRACKED_PHOTON_PER_EVENT,NONE,DIRECT_ROW_COLUMN_READER_NORMALIZATION,CONDITIONAL_DERIVATION_NOT_NATIVE_PAIRED_STORAGE,UNRESOLVED,UNRESOLVED
2,3,3,5.4977327,5.4977327000000002,0.33179062,0.33179061999999998,NORM_READ_TWOG_287_290,0.99951599327008589,0.33163003110699762,0x1.5396d2a7e7712p-2,4.700981853953742,4.700981853953742,HIGH_ENERGY_Et_EQUALS_Eb,LOW_ENERGY_Ec_EQUALS_E21_MINUS_Eb,5.0993572769768711,10.198714553953742,0,5.0993572769768711,,,UNRESOLVED_ORIGINAL_INTEGRATION_REGION,SPONTANEOUS_EVENT_COEFFICIENT_s^-1_NOT_REALIZED_RATE,ONE_HIGH_ENERGY_TRACKED_PHOTON_PER_EVENT,NONE,DIRECT_ROW_COLUMN_READER_NORMALIZATION,CONDITIONAL_DERIVATION_NOT_NATIVE_PAIRED_STORAGE,UNRESOLVED,UNRESOLVED
3,4,4,5.6571046,5.6571046000000003,0.33098159,0.33098158999999999,NORM_READ_TWOG_287_290,0.99951599327008589,0.33082139268296235,0x1.52c2d7d98fde7p-2,4.541609953953742,4.541609953953742,HIGH_ENERGY_Et_EQUALS_Eb,LOW_ENERGY_Ec_EQUALS_E21_MINUS_Eb,5.0993572769768711,10.198714553953742,0,5.0993572769768711,,,UNRESOLVED_ORIGINAL_INTEGRATION_REGION,SPONTANEOUS_EVENT_COEFFICIENT_s^-1_NOT_REALIZED_RATE,ONE_HIGH_ENERGY_TRACKED_PHOTON_PER_EVENT,NONE,DIRECT_ROW_COLUMN_READER_NORMALIZATION,CONDITIONAL_DERIVATION_NOT_NATIVE_PAIRED_STORAGE,UNRESOLVED,UNRESOLVED
4,5,5,5.8164493,5.8164493000000004,0.32989325,0.32989325000000003,NORM_READ_TWOG_287_290,0.99951599327008589,0.32973357944684678,0x1.51a5adf07809cp-2,4.382265253953742,4.3822652539537419,HIGH_ENERGY_Et_EQUALS_Eb,LOW_ENERGY_Ec_EQUALS_E21_MINUS_Eb,5.0993572769768711,10.198714553953742,0,5.0993572769768711,,,UNRESOLVED_ORIGINAL_INTEGRATION_REGION,SPONTANEOUS_EVENT_COEFFICIENT_s^-1_NOT_REALIZED_RATE,ONE_HIGH_ENERGY_TRACKED_PHOTON_PER_EVENT,NONE,DIRECT_ROW_COLUMN_READER_NORMALIZATION,CONDITIONAL_DERIVATION_NOT_NATIVE_PAIRED_STORAGE,UNRESOLVED,UNRESOLVED
5,6,6,5.9758212,5.9758212000000004,0.32851708,0.32851708000000002,NORM_READ_TWOG_287_290,0.99951599327008589,0.32835807552238827,0x1.503d196efc104p-2,4.222893353953742,4.2228933539537419,HIGH_ENERGY_Et_EQUALS_Eb,LOW_ENERGY_Ec_EQUALS_E21_MINUS_Eb,5.0993572769768711,10.198714553953742,0,5.0993572769768711,,,UNRESOLVED_ORIGINAL_INTEGRATION_REGION,SPONTANEOUS_EVENT_COEFFICIENT_s^-1_NOT_REALIZED_RATE,ONE_HIGH_ENERGY_TRACKED_PHOTON_PER_EVENT,NONE,DIRECT_ROW_COLUMN_READER_NORMALIZATION,CONDITIONAL_DERIVATION_NOT_NATIVE_PAIRED_STORAGE,UNRESOLVED,UNRESOLVED
6,7,7,6.1351659,6.1351658999999996,0.32684231,0.32684231000000002,NORM_READ_TWOG_287_290,0.99951599327008589,0.32668411612233933,0x1.4e8647eb78f2dp-2,4.063548653953742,4.0635486539537427,HIGH_ENERGY_Et_EQUALS_Eb,LOW_ENERGY_Ec_EQUALS_E21_MINUS_Eb,5.0993572769768711,10.198714553953742,0,5.0993572769768711,,,UNRESOLVED_ORIGINAL_INTEGRATION_REGION,SPONTANEOUS_EVENT_COEFFICIENT_s^-1_NOT_REALIZED_RATE,ONE_HIGH_ENERGY_TRACKED_PHOTON_PER_EVENT,NONE,DIRECT_ROW_COLUMN_READER_NORMALIZATION,CONDITIONAL_DERIVATION_NOT_NATIVE_PAIRED_STORAGE,UNRESOLVED,UNRESOLVED
7,8,8,6.2945106,6.2945105999999997,0.32485537,0.32485536999999998,NORM_READ_TWOG_287_290,0.99951599327008589,0.32469813781467122,0x1.4c7dab2bf1c7dp-2,3.904203953953742,3.9042039539537425,HIGH_ENERGY_Et_EQUALS_Eb,LOW_ENERGY_Ec_EQUALS_E21_MINUS_Eb,5.0993572769768711,10.198714553953742,0,5.0993572769768711,,,UNRESOLVED_ORIGINAL_INTEGRATION_REGION,SPONTANEOUS_EVENT_COEFFICIENT_s^-1_NOT_REALIZED_RATE,ONE_HIGH_ENERGY_TRACKED_PHOTON_PER_EVENT,NONE,DIRECT_ROW_COLUMN_READER_NORMALIZATION,CONDITIONAL_DERIVATION_NOT_NATIVE_PAIRED_STORAGE,UNRESOLVED,UNRESOLVED
8,9,9,6.4538826,6.4538826,0.32254017,0.32254017000000001,NORM_READ_TWOG_287_290,0.99951599327008589,0.32238405838705236,0x1.4a1f0bee18b95p-2,3.744831953953742,3.7448319539537422,HIGH_ENERGY_Et_EQUALS_Eb,LOW_ENERGY_Ec_EQUALS_E21_MINUS_Eb,5.0993572769768711,10.198714553953742,0,5.0993572769768711,,,UNRESOLVED_ORIGINAL_INTEGRATION_REGION,SPONTANEOUS_EVENT_COEFFICIENT_s^-1_NOT_REALIZED_RATE,ONE_HIGH_ENERGY_TRACKED_PHOTON_PER_EVENT,NONE,DIRECT_ROW_COLUMN_READER_NORMALIZATION,CONDITIONAL_DERIVATION_NOT_NATIVE_PAIRED_STORAGE,UNRESOLVED,UNRESOLVED
9,10,10,6.6132273,6.6132273000000001,0.31987727,0.31987726999999999,NORM_READ_TWOG_287_290,0.99951599327008589,0.31972244724857346,0x1.4765523aeb38ap-2,3.585487253953742,3.5854872539537421,HIGH_ENERGY_Et_EQUALS_Eb,LOW_ENERGY_Ec_EQUALS_E21_MINUS_Eb,5.0993572769768711,10.198714553953742,0,5.0993572769768711,,,UNRESOLVED_ORIGINAL_INTEGRATION_REGION,SPONTANEOUS_EVENT_COEFFICIENT_s^-1_NOT_REALIZED_RATE,ONE_HIGH_ENERGY_TRACKED_PHOTON_PER_EVENT,NONE,DIRECT_ROW_COLUMN_READER_NORMALIZATION,CONDITIONAL_DERIVATION_NOT_NATIVE_PAIRED_STORAGE,UNRESOLVED,UNRESOLVED
10,11,11,6.7725720,6.7725720000000003,0.31684389,0.31684389000000002,NORM_READ_TWOG_287_290,0.99951599327008589,0.31669053542490783,0x1.444a8612692c7p-2,3.426142553953742,3.426142553953742,HIGH_ENERGY_Et_EQUALS_Eb,LOW_ENERGY_Ec_EQUALS_E21_MINUS_Eb,5.0993572769768711,10.198714553953742,0,5.0993572769768711,,,UNRESOLVED_ORIGINAL_INTEGRATION_REGION,SPONTANEOUS_EVENT_COEFFICIENT_s^-1_NOT_REALIZED_RATE,ONE_HIGH_ENERGY_TRACKED_PHOTON_PER_EVENT,NONE,DIRECT_ROW_COLUMN_READER_NORMALIZATION,CONDITIONAL_DERIVATION_NOT_NATIVE_PAIRED_STORAGE,UNRESOLVED,UNRESOLVED
11,12,12,6.9319439,6.9319439000000003,0.31341336,0.31341335999999997,NORM_READ_TWOG_287_290,0.99951599327008589,0.31326166582451498,0x1.40c7aa873a22ap-2,3.266770653953742,3.266770653953742,HIGH_ENERGY_Et_EQUALS_Eb,LOW_ENERGY_Ec_EQUALS_E21_MINUS_Eb,5.0993572769768711,10.198714553953742,0,5.0993572769768711,,,UNRESOLVED_ORIGINAL_INTEGRATION_REGION,SPONTANEOUS_EVENT_COEFFICIENT_s^-1_NOT_REALIZED_RATE,ONE_HIGH_ENERGY_TRACKED_PHOTON_PER_EVENT,NONE,DIRECT_ROW_COLUMN_READER_NORMALIZATION,CONDITIONAL_DERIVATION_NOT_NATIVE_PAIRED_STORAGE,UNRESOLVED,UNRESOLVED
12,13,13,7.0912886,7.0912886000000004,0.30955451,0.30955451,NORM_READ_TWOG_287_290,0.99951599327008589,0.30940468353388473,0x1.3cd494d407706p-2,3.107425953953742,3.1074259539537419,HIGH_ENERGY_Et_EQUALS_Eb,LOW_ENERGY_Ec_EQUALS_E21_MINUS_Eb,5.0993572769768711,10.198714553953742,0,5.0993572769768711,,,UNRESOLVED_ORIGINAL_INTEGRATION_REGION,SPONTANEOUS_EVENT_COEFFICIENT_s^-1_NOT_REALIZED_RATE,ONE_HIGH_ENERGY_TRACKED_PHOTON_PER_EVENT,NONE,DIRECT_ROW_COLUMN_READER_NORMALIZATION,CONDITIONAL_DERIVATION_NOT_NATIVE_PAIRED_STORAGE,UNRESOLVED,UNRESOLVED
13,14,14,7.2506605,7.2506605000000004,0.30523101,0.30523101000000002,NORM_READ_TWOG_287_290,0.99951599327008589,0.30508327613698155,0x1.3867c016426e1p-2,2.948054053953742,2.9480540539537419,HIGH_ENERGY_Et_EQUALS_Eb,LOW_ENERGY_Ec_EQUALS_E21_MINUS_Eb,5.0993572769768711,10.198714553953742,0,5.0993572769768711,,,UNRESOLVED_ORIGINAL_INTEGRATION_REGION,SPONTANEOUS_EVENT_COEFFICIENT_s^-1_NOT_REALIZED_RATE,ONE_HIGH_ENERGY_TRACKED_PHOTON_PER_EVENT,NONE,DIRECT_ROW_COLUMN_READER_NORMALIZATION,CONDITIONAL_DERIVATION_NOT_NATIVE_PAIRED_STORAGE,UNRESOLVED,UNRESOLVED
14,15,15,7.4100052,7.4100051999999996,0.30040073,0.30040073,NORM_READ_TWOG_287_290,0.99951599327008589,0.30025533402500887,0x1.33762260590e7p-2,2.788709353953742,2.7887093539537426,HIGH_ENERGY_Et_EQUALS_Eb,LOW_ENERGY_Ec_EQUALS_E21_MINUS_Eb,5.0993572769768711,10.198714553953742,0,5.0993572769768711,,,UNRESOLVED_ORIGINAL_INTEGRATION_REGION,SPONTANEOUS_EVENT_COEFFICIENT_s^-1_NOT_REALIZED_RATE,ONE_HIGH_ENERGY_TRACKED_PHOTON_PER_EVENT,NONE,DIRECT_ROW_COLUMN_READER_NORMALIZATION,CONDITIONAL_DERIVATION_NOT_NATIVE_PAIRED_STORAGE,UNRESOLVED,UNRESOLVED
15,16,16,7.5693500,7.56935,0.29501454,0.29501453999999999,NORM_READ_TWOG_287_290,0.99951599327008589,0.29487175097721746,0x1.2df2dc3bd87a9p-2,2.629364553953742,2.6293645539537422,HIGH_ENERGY_Et_EQUALS_Eb,LOW_ENERGY_Ec_EQUALS_E21_MINUS_Eb,5.0993572769768711,10.198714553953742,0,5.0993572769768711,,,UNRESOLVED_ORIGINAL_INTEGRATION_REGION,SPONTANEOUS_EVENT_COEFFICIENT_s^-1_NOT_REALIZED_RATE,ONE_HIGH_ENERGY_TRACKED_PHOTON_PER_EVENT,NONE,DIRECT_ROW_COLUMN_READER_NORMALIZATION,CONDITIONAL_DERIVATION_NOT_NATIVE_PAIRED_STORAGE,UNRESOLVED,UNRESOLVED
16,17,17,7.7287219,7.7287219,0.28901515,0.28901515,NORM_READ_TWOG_287_290,0.99951599327008589,0.28887526472235286,0x1.27ceeada6c637p-2,2.469992653953742,2.4699926539537422,HIGH_ENERGY_Et_EQUALS_Eb,LOW_ENERGY_Ec_EQUALS_E21_MINUS_Eb,5.0993572769768711,10.198714553953742,0,5.0993572769768711,,,UNRESOLVED_ORIGINAL_INTEGRATION_REGION,SPONTANEOUS_EVENT_COEFFICIENT_s^-1_NOT_REALIZED_RATE,ONE_HIGH_ENERGY_TRACKED_PHOTON_PER_EVENT,NONE,DIRECT_ROW_COLUMN_READER_NORMALIZATION,CONDITIONAL_DERIVATION_NOT_NATIVE_PAIRED_STORAGE,UNRESOLVED,UNRESOLVED
17,18,18,7.8880666,7.8880666000000002,0.28233575,0.28233575,NORM_READ_TWOG_287_290,0.99951599327008589,0.28219909759690465,0x1.20f8ccdc8ec38p-2,2.310647953953742,2.3106479539537421,HIGH_ENERGY_Et_EQUALS_Eb,LOW_ENERGY_Ec_EQUALS_E21_MINUS_Eb,5.0993572769768711,10.198714553953742,0,5.0993572769768711,,,UNRESOLVED_ORIGINAL_INTEGRATION_REGION,SPONTANEOUS_EVENT_COEFFICIENT_s^-1_NOT_REALIZED_RATE,ONE_HIGH_ENERGY_TRACKED_PHOTON_PER_EVENT,NONE,DIRECT_ROW_COLUMN_READER_NORMALIZATION,CONDITIONAL_DERIVATION_NOT_NATIVE_PAIRED_STORAGE,UNRESOLVED,UNRESOLVED
