x_Doppler,nu_Hz,Voigt_H,phi_Hz^-1,sigma_Voigt_m2,sigma_Voigt_cm2,Lee_first_order_factor,sigma_Lee1_m2,rate_at_250cm^-3_s^-1
-28.65,2464409452210899.0,5.931956451844433e-07,5.782805773498214e-18,6.38762811739644e-24,6.38762811739644e-20,1.0012050097011895,6.395325271245493e-24,4.787406835260479e-07
-28.625,2464410899063937.0,5.942341530333448e-07,5.792929733836094e-18,6.398810940449224e-24,6.398810940449224e-20,1.0012039582093035,6.40651484141076e-24,4.795788150286411e-07
-28.6,2464412345916975.0,5.952753921278718e-07,5.80308031989704e-18,6.410023174003409e-24,6.410023174003409e-20,1.0012029067174177,6.4177338339382206e-24,4.80419150792861e-07
-28.575,2464413792770012.5,5.963193720598197e-07,5.813257625187283e-18,6.42126492134502e-24,6.421264921345021e-20,1.001201855225532,6.428982352145264e-24,4.812616985598001e-07
-28.55,2464415239623050.5,5.973661024631526e-07,5.823461743624139e-18,6.432536286214168e-24,6.432536286214168e-20,1.001200803733646,6.4402604998034666e-24,4.821064661045842e-07
-28.525,2464416686476088.5,5.984155930142282e-07,5.8336927695382035e-18,6.443837372807459e-24,6.443837372807459e-20,1.0011997522417602,6.451568381141023e-24,4.829534612365526e-07
-28.5,2464418133329126.0,5.994678534320206e-07,5.843950797675516e-18,6.455168285780402e-24,6.455168285780401e-20,1.0011987007498744,6.462906100845132e-24,4.838026917994382e-07
-28.475,2464419580182164.0,6.005228934783453e-07,5.854235923199762e-18,6.46652913024983e-24,6.46652913024983e-20,1.0011976492579886,6.474273764064435e-24,4.846541656715497e-07
-28.45,2464421027035201.5,6.015807229580882e-07,5.864548241694501e-18,6.4779200117963666e-24,6.477920011796367e-20,1.0011965977661026,6.4856714764114736e-24,4.855078907659555e-07
-28.425,2464422473888239.5,6.026413517194319e-07,5.8748878491653706e-18,6.489341036466855e-24,6.489341036466855e-20,1.0011955462742168,6.497099343965125e-24,4.863638750306666e-07
-28.4,2464423920741277.5,6.037047896540865e-07,5.885254842042343e-18,6.500792310776858e-24,6.500792310776858e-20,1.001194494782331,6.508557473273099e-24,4.872221264488236e-07
-28.375,2464425367594315.0,6.04771046697521e-07,5.8956493171819715e-18,6.5122739417131336e-24,6.512273941713134e-20,1.001193443290445,6.520045971354411e-24,4.880826530388823e-07
-28.35,2464426814447353.0,6.058401328291947e-07,5.9060713718696586e-18,6.5237860367361426e-24,6.523786036736142e-20,1.0011923917985592,6.531564945701902e-24,4.889454628548017e-07
-28.325,2464428261300391.0,6.069120580727938e-07,5.916521103821948e-18,6.535328703782579e-24,6.53532870378258e-20,1.0011913403066734,6.543114504284755e-24,4.898105639862333e-07
-28.3,2464429708153428.5,6.079868324964633e-07,5.9269986111888e-18,6.5469020512678854e-24,6.546902051267886e-20,1.0011902888147874,6.5546947555510186e-24,4.906779645587104e-07
-28.275,2464431155006466.5,6.09064466213048e-07,5.9375039925559285e-18,6.558506188088834e-24,6.558506188088834e-20,1.0011892373229017,6.56630580843019e-24,4.915476727338404e-07
-28.25,2464432601859504.5,6.101449693803272e-07,5.948037346947096e-18,6.570141223626058e-24,6.570141223626058e-20,1.0011881858310159,6.577947772335744e-24,4.924196967094959e-07
-28.225,2464434048712542.0,6.112283522012581e-07,5.958598773826486e-18,6.581807267746681e-24,6.581807267746681e-20,1.0011871343391299,6.589620757167758e-24,4.932940447200104e-07
-28.2,2464435495565580.0,6.123146249242147e-07,5.969188373101029e-18,6.5935044308068734e-24,6.593504430806873e-20,1.001186082847244,6.6013248733154814e-24,4.941707250363708e-07
-28.175,2464436942418617.5,6.134037978432321e-07,5.979806245122786e-18,6.605232823654496e-24,6.605232823654496e-20,1.0011850313553583,6.6130602316599686e-24,4.950497459664155e-07
-28.15,2464438389271655.5,6.144958812982507e-07,5.990452490691327e-18,6.616992557631726e-24,6.616992557631726e-20,1.0011839798634723,6.624826943576708e-24,4.959311158550304e-07
-28.125,2464439836124693.5,6.155908856753618e-07,6.001127211056132e-18,6.628783744577699e-24,6.628783744577699e-20,1.0011829283715865,6.636625120938271e-24,4.968148430843482e-07
-28.1,2464441282977731.0,6.166888214070559e-07,6.011830507919002e-18,6.640606496831188e-24,6.640606496831188e-20,1.0011818768797007,6.648454876116982e-24,4.977009360739477e-07
-28.075,2464442729830769.0,6.177896989724716e-07,6.0225624834364906e-18,6.652460927233274e-24,6.652460927233275e-20,1.0011808253878147,6.660316321987596e-24,4.985894032810556e-07
-28.05,2464444176683807.0,6.188935288976459e-07,6.0333232402223456e-18,6.664347149130056e-24,6.664347149130056e-20,1.001179773895929,6.672209571930009e-24,4.994802532007481e-07
-28.025,2464445623536844.5,6.200003217557668e-07,6.044112881349968e-18,6.676265276375357e-24,6.676265276375357e-20,1.0011787224040432,6.684134739831957e-24,5.003734943661544e-07
-28.0,2464447070389882.5,6.211100881674269e-07,6.054931510354883e-18,6.688215423333462e-24,6.688215423333462e-20,1.0011776709121571,6.696091940091763e-24,5.012691353486623e-07
-27.975,2464448517242920.0,6.222228388008791e-07,6.065779231237242e-18,6.70019770488187e-24,6.700197704881871e-20,1.0011766194202714,6.708081287621093e-24,5.021671847581236e-07
-27.95,2464449964095958.0,6.23338584372294e-07,6.076656148464317e-18,6.712212236414067e-24,6.712212236414067e-20,1.0011755679283856,6.720102897847712e-24,5.030676512430625e-07
-27.925,2464451410948996.0,6.24457335646017e-07,6.087562366973023e-18,6.724259133842292e-24,6.724259133842291e-20,1.0011745164364998,6.732156886718273e-24,5.039705434908828e-07
-27.9,2464452857802033.5,6.255791034348315e-07,6.098497992172469e-18,6.736338513600369e-24,6.73633851360037e-20,1.0011734649446138,6.744243370701131e-24,5.048758702280803e-07
-27.875,2464454304655071.5,6.26703898600217e-07,6.109463129946486e-18,6.748450492646498e-24,6.748450492646497e-20,1.001172413452728,6.756362466789146e-24,5.057836402204512e-07
-27.85,2464455751508109.5,6.278317320526163e-07,6.120457886656224e-18,6.760595188466113e-24,6.760595188466113e-20,1.0011713619608422,6.768514292502536e-24,5.066938622733073e-07
-27.825,2464457198361147.0,6.289626147516985e-07,6.13148236914272e-18,6.772772719074735e-24,6.772772719074735e-20,1.0011703104689562,6.78069896589173e-24,5.076065452316896e-07
-27.8,2464458645214185.0,6.300965577066271e-07,6.142536684729511e-18,6.784983203020844e-24,6.784983203020844e-20,1.0011692589770704,6.792916605540248e-24,5.08521697980583e-07
