i,j,mu,group,branch,log_low,log_high,relative_low_high,amp_reciprocity
2,2,-1.0,1,back_32_48,146.27084518184415,146.2708451818442,-5.68434188608064e-14,2.325357526204605e-16
2,2,-0.5773502691896258,1,GL8_12,146.34458984857054,146.34458984856994,5.968558980386623e-13,1.1072655869778446e-15
2,2,-0.7071067811865475,1,GL8_12,146.3209075896125,146.32090758961215,3.4106051316490625e-13,1.2491683478298431e-15
2,2,-0.816496580927726,1,GL8_12,146.30168625554364,146.30168625554342,2.273736754432579e-13,1.230740747677065e-15
2,2,-0.5,1,GL8_12,146.3591940261116,146.35919402611069,9.094947017733418e-13,9.907409175702191e-16
2,2,-0.3333333333333333,1,GL8_12,146.3920034266154,146.39200342661297,2.4158453015872588e-12,7.871762592336591e-16
2,2,0.0,1,GL8_12,146.46395393853027,146.46395393850923,2.103206497872014e-11,9.721287217539866e-16
2,2,0.3333333333333333,1,GL8_12,146.5467404486861,146.54674044854067,1.454338871659528e-10,9.230555184413137e-16
2,2,0.5773502691896258,1,GL8_12,146.617770632568,146.617770638744,-6.175980596736562e-09,1.222774851977668e-15
2,2,0.5,1,GL8_12,146.59393505524173,146.5939350562712,-1.0294627367487667e-09,1.1565245277735337e-15
2,2,0.7071067811865475,1,GL8_12,146.66187007559103,146.66187013678018,-6.118915320407933e-08,1.6176198257683368e-15
2,2,0.816496580927726,1,GL8_12,146.70562955238,146.70562840864113,1.1437395247931612e-06,2.0473488941934763e-15
2,3,-1.0,1,back_32_48,145.433083696628,145.4330836966278,1.9895196601284784e-13,2.7653082970720853e-16
2,3,-0.816496580927726,1,GL8_12,145.4100713531875,145.41007135318677,7.389644451907772e-13,1.445323103246481e-15
2,3,-0.7071067811865475,1,GL8_12,145.39364414789634,145.39364414789566,6.821210263299288e-13,1.310872515032681e-15
2,3,-0.5773502691896258,1,GL8_12,145.3710194060359,145.37101940603537,5.400124791778219e-13,1.354648620676375e-15
2,3,-0.5,1,GL8_12,145.35566627375587,145.35566627375556,3.1263880373449295e-13,1.2591031450059935e-15
2,3,-0.3333333333333333,1,GL8_12,145.31693024828468,145.31693024828544,-7.673861546206138e-13,1.0864980545295874e-15
2,3,0.3333333333333333,1,GL8_12,145.0286391486901,145.02863914880697,-1.1687006917099197e-10,1.6282423764183758e-15
2,3,0.0,1,GL8_12,145.20792124074225,145.20792124076235,-2.0094148567093746e-11,1.5095504215898024e-15
2,3,0.5773502691896258,1,GL8_12,144.8082604537965,144.80826044113536,1.2661132666951934e-08,3.740992668514808e-15
2,3,0.5,1,GL8_12,144.89080018387372,144.89080018141243,2.461291617992535e-09,3.0834555658880647e-15
2,3,0.7071067811865475,1,GL8_12,144.6260482189792,144.62604808596018,1.3301903752782335e-07,3.362262255867862e-14
2,4,-1.0,1,back_32_48,143.23222552635076,143.2322255263506,1.7053025658243858e-13,2.6836210450821494e-16
2,4,-0.816496580927726,1,GL8_12,143.0526157810474,143.0526157810448,2.5863755581701093e-12,1.57539399133651e-15
2,3,0.816496580927726,1,GL8_12,144.3926059787621,144.39260790276978,-1.9240058258330353e-06,2.861488677544865e-12
2,4,-0.7071067811865475,1,GL8_12,142.92884449304677,142.92884449304495,1.818989403547511e-12,1.5210143997725833e-15
2,4,-0.5773502691896258,1,GL8_12,142.761987253869,142.76198725386917,-1.705302565824095e-13,1.4198254990457253e-15
2,4,-0.5,1,GL8_12,142.65022121304196,142.65022121304435,-2.3874235921510867e-12,1.6750987829637173e-15
2,4,0.3333333333333333,1,GL8_12,140.09722521222372,140.09722520909781,3.1259048731697645e-09,3.4630533462381968e-15
2,4,0.0,1,GL8_12,141.56942439536198,141.56942439533105,3.092281986075767e-11,1.734553897112011e-15
2,4,-0.3333333333333333,1,GL8_12,142.37036712944067,142.37036712945167,-1.099920154950586e-11,1.6725217620225594e-15
2,4,0.5,1,GL8_12,138.7377356882053,138.7377357304311,-4.22257917487293e-08,1.8709126307614164e-12
2,4,0.5773502691896258,1,GL8_12,137.78891763650654,137.7889178141357,-1.7762913117080007e-07,2.510958896600539e-12
2,5,-1.0,1,back_32_48,141.11083062073175,141.1108306207313,4.547473508865675e-13,3.012380865312136e-16
2,5,-0.816496580927726,1,GL8_12,140.75026086076622,140.7502608607556,1.0629719327027594e-11,1.8197479600746176e-15
2,4,0.7071067811865475,1,GL8_12,135.20599426548824,135.2059897992959,4.46620231030126e-06,3.2563246337292377e-12
2,5,-0.7071067811865475,1,GL8_12,140.5009668510371,140.50096685102244,1.4665602066196008e-11,1.5885758366848235e-15
2,5,-0.5773502691896258,1,GL8_12,140.1636150667724,140.1636150667482,2.4186874725566312e-11,1.5402042635180856e-15
2,4,0.816496580927726,1,GL8_12,130.49270886220654,130.49300541333164,-0.0002965071581647616,2.584448959700461e-12
2,5,-0.5,1,GL8_12,139.93674422217268,139.93674422213923,3.3452352000145046e-11,1.9370019007125605e-15
