small_domain,large_domain,state,domain_relative,small_action_norm,large_restricted_action_norm,small_entropy,large_entropy,number_residual_small,number_residual_large
10.25,12.75,BE_equilibrium,0.49647789209905524,2.5009536873510944e-14,2.4075801665411707e-14,-0.0,-0.0,4.8428546329387645e-14,2.029076234290328e-14
10.25,12.75,smooth_L8,0.0003591289364077846,0.0103640952188258,0.010364094285914014,-5.670822275639322e-05,-5.712246027365976e-05,1.5885442917681902e-13,1.205246839830476e-13
10.25,12.75,smooth_L2,8.128232936374536e-05,0.16099127887743556,0.16099127816715114,-0.012628630931632644,-0.012633797932864269,1.5703584266280046e-14,4.6102011097559625e-14
10.25,12.75,narrow_core,5.358020963826442e-15,2.5371783001770774,2.537178300177072,-1.0215339332354725,-1.0215339332354727,6.68076705068188e-14,1.0191847366058937e-13
10.25,12.75,angular_dipole,3.5802496380069625e-06,4.366304823908456,4.36630482423221,-2.3030994070964983,-2.3031258599399793,1.116168789339067e-13,8.071448782780155e-14
10.25,12.75,angular_quadrupole,3.0922726649262445e-06,2.440559630903356,2.4405596310573903,-0.6995667297888142,-0.699574663767339,7.704947790898586e-14,4.5075054799781356e-14
10.25,12.75,red_blue_crossing,0.00011070959232226972,0.6824419537967666,0.6824419988936962,-0.18645965688686014,-0.18726521523648043,5.6135732997772414e-14,3.178742533950507e-14
10.25,12.75,tapered_L8,1.7465030806351888e-05,0.010364099169631786,0.01036409906063957,-5.927140730714428e-05,-5.929693231481908e-05,2.5539179061492834e-13,2.370057275435933e-13
10.25,12.75,tapered_red_blue,1.5964030998801458e-06,0.6824417850411567,0.6824417853342579,-0.1855451388445834,-0.1855459011214397,4.219075176031817e-14,2.205673794650198e-14
10.25,12.75,compact_gaussian,4.332709291106713e-09,0.30345411232445035,0.3034541123244263,-0.04013508726325916,-0.04013508727200675,1.5040919898456906e-13,1.079969447204121e-13
10.25,12.75,wing_localized,0.3884539111807299,4.32887760385565e-05,6.626353208654437e-05,-2.209831913659129e-05,-3.9322201974922146e-05,9.860032712180611e-14,4.0006436748465934e-14
12.75,16.25,BE_equilibrium,0.48021851057891923,2.4075801668402222e-14,2.2471924447308523e-14,-0.0,-0.0,2.029076234290328e-14,3.288005718388165e-14
12.75,16.25,smooth_L8,0.000332829906303162,0.010364095080382836,0.010364094296508568,-5.712246027365976e-05,-5.76077574169879e-05,1.205246839830476e-13,1.307192201704943e-13
12.75,16.25,smooth_L2,1.688661778837102e-05,0.16099127880293615,0.16099127906506047,-0.012633797932864269,-0.012634111300861374,4.6102011097559625e-14,3.606837051250977e-14
12.75,16.25,narrow_core,4.291001806968452e-15,2.537178300177072,2.5371783001770734,-1.0215339332354727,-1.0215339332354725,1.0191847366058937e-13,8.704148513061227e-14
12.75,16.25,angular_dipole,2.443835025667917e-06,4.366304824694159,4.366304824868452,-2.3031258599399793,-2.3031487552003598,8.071448782780155e-14,9.660338935041368e-14
12.75,16.25,angular_quadrupole,2.0631398828348846e-06,2.440559631329373,2.4405596314112454,-0.699574663767339,-0.6995815474926694,4.5075054799781356e-14,5.745404152435185e-14
12.75,16.25,red_blue_crossing,9.45454290439286e-05,0.6824420943928168,0.6824421325861152,-0.18726521523648043,-0.1883952931279254,3.178742533950507e-14,4.3611788442740607e-14
12.75,16.25,tapered_L8,3.88586112573044e-08,0.010364099062938874,0.01036409906266757,-5.929693231481908e-05,-5.9296973910832754e-05,2.370057275435933e-13,2.4785989233278016e-13
12.75,16.25,tapered_red_blue,3.5858987146733182e-09,0.6824417853347411,0.6824417853352904,-0.1855459011214397,-0.18554590255969117,2.205673794650198e-14,3.4400948886390004e-14
12.75,16.25,compact_gaussian,2.86632296998755e-11,0.3034541123244264,0.30345411232442737,-0.04013508727200675,-0.0401350872720101,1.079969447204121e-13,1.27675647831893e-13
12.75,16.25,wing_localized,0.004837496960097971,7.116052655158154e-05,7.144868461495266e-05,-3.9322201974922146e-05,-3.955268537104606e-05,4.0006436748465934e-14,5.2607007292038155e-14
16.25,21.25,BE_equilibrium,0.44911597291251637,2.2471924448501833e-14,2.3637892170361746e-14,-0.0,-0.0,3.288005718388165e-14,4.3172212224433515e-14
16.25,21.25,smooth_L8,0.0002565570792031436,0.010364094910195158,0.010364094335666083,-5.76077574169879e-05,-5.8046129318410485e-05,1.307192201704943e-13,1.464800503114816e-13
16.25,21.25,smooth_L2,5.638702624335871e-05,0.1609912790859512,0.16099127919804573,-0.012634111300861374,-0.012639200794529414,3.606837051250977e-14,2.606248550307555e-14
16.25,21.25,narrow_core,4.2323673403714835e-15,2.5371783001770734,2.537178300177076,-1.0215339332354725,-1.0215339332354725,8.704148513061227e-14,7.37188088351104e-14
16.25,21.25,angular_dipole,1.5388751482981836e-06,4.3663048252606576,4.366304825356225,-2.3031487552003598,-2.303168053589557,9.660338935041368e-14,1.0412020366983715e-13
16.25,21.25,angular_quadrupole,1.283825043465539e-06,2.4405596316388927,2.440559631683766,-0.6995815474926694,-0.6995873624792905,5.745404152435185e-14,6.939460399542352e-14
16.25,21.25,red_blue_crossing,7.563766604646994e-05,0.6824422623294708,0.682442296201744,-0.1883952931279254,-0.1900107931076171,4.3611788442740607e-14,5.38900521429575e-14
16.25,21.25,tapered_L8,1.109511301355004e-12,0.010364099062667578,0.010364099062669906,-5.9296973910832754e-05,-5.9296973910922905e-05,2.4785989233278016e-13,2.633414319941352e-13
16.25,21.25,tapered_red_blue,1.7860668102239815e-14,0.6824417853352904,0.6824417853352907,-0.18554590255969117,-0.1855459025596945,3.4400948886390004e-14,4.608965119279329e-14
16.25,21.25,compact_gaussian,3.5360928846349867e-14,0.3034541123244273,0.30345411232442965,-0.0401350872720101,-0.04013508727201011,1.27675647831893e-13,1.3866685577568205e-13
16.25,21.25,wing_localized,6.224587102725991e-07,7.144967466819083e-05,7.144967375653513e-05,-3.955268537104606e-05,-3.955269625560497e-05,5.2607007292038155e-14,6.098355327666116e-14
