target_z,actual_z,H_s_inv,macro_dt_s,collision_spectral_radius_s_inv,stiffness_number,near_null_mode_count,requires_block_preconditioner
1300,1299.9971824762927,6.533761385188898e-14,1299404661.3403444,0.6550525331971462,851178315.0591725,5,1
1100,1099.9986525171403,4.969651222923834e-14,1708369384.3217053,0.6550525331971462,1119071692.8363822,5,1
900,900.0168986313175,3.590458821185337e-14,2364600298.4089794,0.6550525331971462,1548937415.4715297,5,1
