target_z,actual_z,model,bianchi_type,selected_tau,red_root_count,blue_root_count,outer_speed_min_s_inv,outer_speed_max_s_inv,mixed_directional_flow,normalized_geometry_residual,frozen_network_mode_measure_residual,source_temperature_mode_measure_residual,source_temperature_outer_face_mismatch,pilot_uses_frozen_reference_line,pilot_doppler_width_Hz,transport_number_residual_m3_s,transport_number_relative_residual,transport_energy_relative_residual,transport_four_momentum_residual,pilot_dt_s,pilot_converged,pilot_newton_iterations,pilot_gmres_iterations,pilot_residual_relative,pilot_number_relative_residual,pilot_energy_relative_residual,pilot_minimum_occupation,pilot_collision_entropy_production,pilot_interface_atom_source_J_m3,pilot_collision_four_force_residual,pilot_jvp_relative
1300,1299.9971824762927,Bianchi_II_large_shear,II,0.0,1,1,-5.121287080387184e-09,1.1141927940348444e-09,1,0.0,1.0875883863452802e-08,0.08775963445848887,4.374561608296736e-05,1,57874121512.55733,-5.041862781275597e-25,7.948853934155215e-21,2.3826120135618022e-20,0.0,1.0,1,2,13,5.816876586628113e-15,8.903202543591937e-17,4.2412427295749425e-17,7.230470702122935e-18,-5.1021680168600504e-11,0.0,0.0,2.3100882288697493e-10
1300,1299.9971824762927,Bianchi_VI_h_tilted_large_shear,VI_h,0.0,5,5,-8.979662469714486e-09,8.95654120399149e-10,1,2.220446049250313e-16,1.0875883863452802e-08,0.08775963445848887,4.374561608296736e-05,1,57874121512.55733,3.5524453092679133e-25,3.194184546673065e-21,1.6624928484204227e-20,0.0,1.0,1,2,13,5.44920196676092e-15,2.0829897474581964e-16,1.2005379202580157e-16,7.230495862821597e-18,-5.102169158315339e-11,0.0,0.0,2.3100863011428651e-10
1300,1299.9971824762927,Bianchi_VI_minus_1_over_9_exceptional,VI_-1/9,0.0,3,3,-5.217340203706211e-09,8.356445955261331e-10,1,2.220446049250313e-16,1.0875883863452802e-08,0.08775963445848887,4.374561608296736e-05,1,57874121512.55733,-1.6740560015954136e-25,2.5906780294723658e-21,4.168463688454902e-20,0.0,1.0,1,2,13,6.096240973761396e-15,1.1520913701376417e-16,1.526828752690447e-16,7.230470702121497e-18,-5.102168017216399e-11,0.0,0.0,2.3100862962101506e-10
1100,1099.9986525171403,Bianchi_II_large_shear,II,0.0,1,1,-3.895307633927986e-09,8.474673706328046e-10,1,0.0,1.0875883863452802e-08,0.0005830303350853408,2.9065123252560855e-07,1,57874121512.55733,0.0,0.0,1.3980987259907768e-19,0.0,1.0,1,2,13,5.0283991025365156e-15,3.0004919490027207e-17,3.1455422926678503e-16,7.230470702121548e-18,-5.102168016829506e-11,0.0,0.0,2.3100882304876895e-10
1100,1099.9986525171403,Bianchi_VI_h_tilted_large_shear,VI_h,0.0,5,5,-6.83003065817802e-09,6.812444367571164e-10,1,1.1102230246251565e-16,1.0875883863452802e-08,0.0005830303350853408,2.9065123252560855e-07,1,57874121512.55733,0.0,0.0,4.482131147332777e-20,0.0,1.0,1,2,13,5.658961275623807e-15,1.0831702304757409e-16,6.173737522790693e-17,7.230475630568648e-18,-5.1021688846012375e-11,0.0,0.0,2.3100863013829587e-10
1100,1099.9986525171403,Bianchi_VI_minus_1_over_9_exceptional,VI_-1/9,0.0,3,3,-3.968366702606272e-09,6.35600527974604e-10,1,2.220446049250313e-16,1.0875883863452802e-08,0.0005830303350853408,2.9065123252560855e-07,1,57874121512.55733,0.0,0.0,2.3152622525544373e-20,0.0,1.0,1,2,13,5.886845069420242e-15,1.627430768797996e-16,7.063472165726527e-17,7.230470702120419e-18,-5.1021680170582746e-11,0.0,0.0,2.3100862976310815e-10
900,900.0168986313175,Bianchi_II_large_shear,II,0.0,1,1,-2.814270263263839e-09,6.122757030754175e-10,1,2.220446049250313e-16,1.0875883863452802e-08,0.0949875396649884,4.735610518341662e-05,1,57874121512.55733,0.0,0.0,4.3710654045459485e-20,0.0,1.0,1,2,13,5.435146844132704e-15,2.229902678764127e-16,3.157454814967081e-16,7.230470702120316e-18,-5.102168016071327e-11,0.0,0.0,2.3100882319143486e-10
900,900.0168986313175,Bianchi_VI_h_tilted_large_shear,VI_h,0.0,5,5,-4.9345402173301384e-09,4.921834526445825e-10,1,1.1102230246251565e-16,1.0875883863452802e-08,0.0949875396649884,4.735610518341662e-05,1,57874121512.55733,0.0,0.0,5.423483615554582e-20,0.0,1.0,1,2,13,5.6248051794849575e-15,4.343200966743928e-20,1.7290503438298297e-16,7.23047092291912e-18,-5.1021686428242376e-11,0.0,0.0,2.3100882350772342e-10
900,900.0168986313175,Bianchi_VI_minus_1_over_9_exceptional,VI_-1/9,0.0,3,3,-2.8670537617100757e-09,4.5920677730656296e-10,1,2.220446049250313e-16,1.0875883863452802e-08,0.0949875396649884,4.735610518341662e-05,1,57874121512.55733,0.0,0.0,3.915204166362252e-21,0.0,1.0,1,2,13,5.818927324717534e-15,1.8068740795029384e-16,1.0847556024357285e-16,7.230470702119545e-18,-5.102168018066513e-11,0.0,0.0,2.3100882323665868e-10
