target_z,actual_z,source_temperature_K,locked_doppler_width_Hz,source_doppler_width_Hz,mode_measure_relative_residual,outer_face_frequency_relative_mismatch,source_conditioned_dynamic_measure_identified,requires_network_recompilation,requires_explicit_frequency_remap,bounded_no_go
1300,1299.9971824762927,3549.1156548825625,57874121512.55733,62948278907.2466,0.08775963445848887,4.374561608296736e-05,0,1,1,1
1100,1099.9986525171403,3003.496188829631,57874121512.55733,57907834835.931496,0.0005830303350853408,2.9065123252560855e-07,0,1,1,1
900,900.0168986313175,2457.553056790327,57874121512.55733,52381174954.34363,0.0949875396649884,4.735610518341662e-05,0,1,1,1
