component,Q_gamma_per_photon,Q_H_per_photon,sum
0,-4.7527122473143693e-35,4.7527122473143693e-35,0.0
x,-3.193209576260947e-33,3.193209576260947e-33,0.0
y,4.5671504842781915e-33,-4.5671504842781915e-33,0.0
z,-4.304837815599249e-27,4.304837815599249e-27,0.0
