quantity,value,reference,relative_residual
total_rate,0.789798561508268,0.7897985700885558,-1.0863893784573975e-08
recoil_increment_M1,-0.0004629201280192082,-0.0004629199542864045,3.75297720678347e-07
continuous_M2,0.30887305705168067,,
red_exterior_rate,1.965560082010728e-08,,
blue_exterior_rate,1.9613136947926392e-08,,
