model,side,tau,frequency_relative_residual,f_face,travel_time_s,minimum_doppler_factor,minimum_abs_frequency_speed_s_inv,step_count
Bianchi_II_large_shear,red,1.25,4.055961151668019e-16,0.2527846067700712,56455126457.67191,1.0,3.542598248888867e-15,13
Bianchi_II_large_shear,blue,1.25,4.055961151668019e-16,0.3511582823696646,56455126457.67191,1.0,3.542598248888867e-15,13
Bianchi_VI_h_tilted_large_shear,red,0.75,4.055961151668019e-16,0.2647986854515306,15441985027.742031,1.1263494318046403,1.2950794836563856e-14,13
Bianchi_VI_h_tilted_large_shear,blue,0.75,4.055961151668019e-16,0.29452048287135574,15441985027.742031,1.1263494318046403,1.2950794836563856e-14,13
Bianchi_VI_minus_1_over_9_exceptional,red,1.0,4.055961151668019e-16,0.2543209247227262,50717147065.91307,1.0,3.9432990634996025e-15,13
Bianchi_VI_minus_1_over_9_exceptional,blue,1.0,4.055961151668019e-16,0.3439156405928621,50717147065.91307,1.0,3.9432990634996025e-15,13
