target_z,snapshot_z,iz_local,xe,x1s,nH_cm3,H_s_inv,TM_eV_rescaled,TR_eV_rescaled,side,direction,interface_x,interface_energy_eV,interface_frequency_Hz,source_index,source_energy_eV,history_index_left,history_index_right,history_uses_current_endpoint,interpolation_fraction,distortion_occupation,reference_occupation,total_occupation,mode_factor_per_H,distortion_number_flux_per_H_s,reference_number_flux_per_H_s,total_number_flux_per_H_s,distortion_photon_energy_flux_W_per_H,reference_photon_energy_flux_W_per_H,total_photon_energy_flux_W_per_H,atom_source_W_per_H,reconstruction_max_relative_residual,geometry_firewall_residual,number_ledger_residual_per_H_s,photon_energy_ledger_residual_W_per_H,total_energy_ledger_residual_W_per_H,packet_sha256
1300,1299.9971824762927,3161,0.5636143769017707,0.43638562309822926,412.7936603935455,6.533761385188898e-14,0.30583912384019674,0.30583987092241965,red,com_to_native,-21.25,10.193182539813945,2464700572387794.0,136,10.194417,3159,3160,False,0.5736263770791084,3.672309791495975e-14,3.3544291959016685e-15,4.007752711086142e-14,33832753570783.895,8.117829508057402e-14,7.415138116135613e-15,8.859343319670963e-14,1.3257453768881373e-31,1.210986885927623e-32,1.4468440654808996e-31,0.0,0.0,0.0,0.0,0.0,0.0,0fded4950ce2e6709a7b8434ed0883f60c577da570be0e222b4e5c06f52f4aa8
1300,1299.9971824762927,3161,0.5636143769017707,0.43638562309822926,412.7936603935455,6.533761385188898e-14,0.30583912384019674,0.30583987092241965,blue,native_to_com,21.25,10.20424656809354,2467375842523212.5,144,10.204524,3160,3161,True,0.6797701084446999,3.4452676707548624e-14,3.2352484793094384e-15,3.7687925186858066e-14,33943042872863.973,7.640767968903257e-14,7.174996347013698e-15,8.358267603604628e-14,1.2491895692872353e-31,1.1730405415844675e-32,1.3664936234456821e-31,0.0,1.5100945653011707e-16,0.0,0.0,0.0,0.0,ab48cc8a666a86f4a0e004a8803234dfb3263d55fb3916a8aa83f90cc720d0db
1100,1099.9986525171403,5127,0.1449299966903522,0.8550700033096478,250.18675437302318,4.969651222923834e-14,0.25882127610727856,0.25882399309326415,red,com_to_native,-21.25,10.193625503598776,2464807680554429.5,136,10.194417,5126,5127,True,0.08547470986741246,7.814484103031814e-15,7.86277861953278e-18,7.822346881651347e-15,55829362552114.03,2.1681478370963022e-14,2.1815472694983155e-17,2.1703293843658007e-14,3.5410165753394884e-32,3.562900513059904e-35,3.544579475852548e-32,0.0,1.4539007966323554e-16,0.0,0.0,0.0,0.0,bc94ca0bf6c4eb30af38492aef5eccc80c34e4cd5aacecf8facb2041ac58adbc
1100,1099.9986525171403,5127,0.1449299966903522,0.8550700033096478,250.18675437302318,4.969651222923834e-14,0.25882127610727856,0.25882399309326415,blue,native_to_com,21.25,10.203803604308709,2467268734356577.0,144,10.204524,5126,5127,True,0.1684545432744926,7.267819280061662e-15,7.559580115257415e-18,7.27537886017692e-15,55996762590908.0,2.0225205800486675e-14,2.103713063088861e-17,2.0246242931117565e-14,3.3064764527755025e-32,3.439212325014842e-35,3.309915665100518e-32,0.0,1.6537648327370854e-16,0.0,0.0,0.0,0.0,8af6ff1fa54f07f2c17a88119f15c1cdcaa801d73bac26ea757e47cd1025bbb5
900,900.0168986313175,7488,0.012675508212855143,0.9873244917871449,137.120617264371,3.590458821185337e-14,0.21177553699765844,0.2118120590021666,red,com_to_native,-21.25,10.194111196951184,2464925120684537.0,136,10.194417,7487,7488,True,0.6466718493593362,5.122862249902916e-16,1.253814545021404e-21,5.122874788048366e-16,101879381427121.77,1.873910858608872e-15,4.586374913051543e-21,1.8739154449837853e-15,3.060614899047232e-33,7.490819174783314e-39,3.0606223898664067e-33,0.0,0.0,0.0,0.0,0.0,0.0,f6cd1d1c2f6be02b1ab34f6f11df1e671289c745e80e4027a9f13c0e088aff0c
900,900.0168986313175,7488,0.012675508212855143,0.9873244917871449,137.120617264371,3.590458821185337e-14,0.21177553699765844,0.2118120590021666,blue,native_to_com,21.25,10.2033179109563,2467151294226469.5,144,10.204524,7486,7487,False,0.6077904874146043,4.579316924290938e-16,1.2004831619132982e-21,4.579328929122558e-16,102155664965895.52,1.6796280021138625e-15,4.403200669776704e-21,1.6796324053145323e-15,2.7457748235658446e-33,7.198140020864894e-39,2.7457820217058657e-33,0.0,1.2459615518906222e-16,0.0,0.0,0.0,0.0,311580859830e4d3611d303f2adbc143097138f2338a1740f4034b5ad3c4a5d5
