z,Precise_Special_Functions_K2,SciPy_K2,plugin_vs_SciPy_relative,direct_integral,Bessel_formula,direct_vs_formula_relative,implemented,plugin_normalization
10.0,0.00002150981700693276873066456442396712724920684618087324683355693813367684235383563,2.1509817006932767e-05,8.04592881411386015200775972427e-17,2.7030033235616306e-05,np.float64(2.703003323561631e-05),np.float64(1.1102230246251565e-16),2.703003323561631e-05,0.000027030033235616312376184660813421789557679123721030789421299109398718438661927704
50.0,0.000000000000000000000035479318388581977384243496337894590938848962781626508420215350995393993227371945,3.547931838858198e-23,7.3726233266756139483094244871e-17,8.91692528031539e-24,np.float64(8.916925280315391e-24),np.float64(1.1102230246251565e-16),8.916925280315391e-24,0.0000000000000000000000089169252803153921063520403699041632541064399945346260659045398962988137758201404
