event_id,beta_norm,nu_in_rest_over_nu_alpha,nu_out_rest_over_nu_alpha,mu_rest,response_forward_m2,response_reverse_m2,response_relative,thermal_log_residual,conductance_log_residual,maxwell_boltzmann_log_residual,rest_frequency_in_relative,rest_frequency_out_relative
0,1.6951474874849544e-05,0.9998447462856639,0.9998447367195392,0.11918329798531872,9.092635493398784e-23,9.092635493422525e-23,1.3055323410227402e-12,1.4210854715202004e-14,-2.6147972675971687e-12,-6.394884621840902e-14,2.027834313638986e-16,2.0278343330405132e-16
1,2.794120846834243e-05,0.9998274816659705,0.9998274643615166,-0.5933911818029419,9.817438351355258e-23,9.817438351378332e-23,1.1751425263127995e-12,1.4210854715202004e-14,-2.3447910280083306e-12,3.623767952376511e-13,2.0278693294680847e-16,2.0278693645653108e-16
2,4.016120885218056e-05,1.0000331094410582,1.0000330989978474,0.03878635107711521,1.9738555684265282e-21,1.973855568499056e-21,1.8372117627411445e-11,-2.1316282072803006e-14,-3.674927029351238e-11,1.1226575225009583e-12,6.082357071046265e-16,6.082357134563503e-16
3,3.449447219862773e-05,0.9999173458080713,0.9999173387988667,0.35470961697586106,3.5608641149897934e-22,3.5608641149897924e-22,1.3204596557042806e-16,1.4210854715202004e-14,2.842170943040401e-14,-2.984279490192421e-13,0.0,2.0276870958806034e-16
4,1.545302115258492e-05,1.0000091511757205,1.0000091374869495,-0.26000179094278963,2.7544178011693563e-20,2.754417800925248e-20,4.4312197498274875e-11,7.105427357601002e-15,8.86331008587149e-11,7.105427357601002e-14,4.0550018616248885e-16,2.0275009585661858e-16
5,3.7000400744522004e-05,1.0001069252174053,1.0001069168796342,0.2326884152185736,1.991929311138863e-22,1.991929311123752e-22,3.793051238158218e-12,7.105427357601002e-15,7.58859641791787e-12,-9.308109838457312e-13,4.054605430092366e-16,4.054605463895123e-16
6,2.8093523871810905e-05,1.0000623577230805,1.0000623361261762,-0.9877053241386692,1.0976496644359583e-21,1.097649664421681e-21,6.50356517617701e-12,1.4210854715202004e-14,1.304556462855544e-11,-6.608047442568932e-13,4.054786122429298e-16,6.082179314991998e-16
7,2.739978824344141e-05,1.000109994164082,1.0001099796320674,-0.33734958719776864,1.9888532913949877e-22,1.9888532914023219e-22,1.843812307667174e-12,-7.105427357601002e-15,-3.694822225952521e-12,-1.7053025658242404e-13,2.0272964940465257e-16,2.027296523503989e-16
8,1.187408172944708e-05,0.9999680041511184,0.9999679935093507,0.020383205090754457,2.1114830850675056e-21,2.1114830850675052e-21,8.907440341893765e-17,0.0,-2.842170943040401e-14,1.4210854715202004e-14,0.0,2.027584380690256e-16
9,3.018237575782934e-05,0.9997948817948374,0.9997948774147634,0.5966572303721266,6.964999157465857e-23,6.964999157493387e-23,1.976315938724399e-12,1.4210854715202004e-14,-3.964828465541359e-12,4.689582056016661e-13,4.055870902619387e-16,4.055870920388045e-16
10,1.678627974289643e-05,1.0000228981414965,1.0000228799506878,-0.6743520375228109,5.9945773364475175e-21,5.994577336341353e-21,8.855055600888099e-12,7.105427357601002e-15,1.77351466845721e-11,-4.973799150320701e-14,2.0274730594647394e-16,4.0549461926905387e-16
11,2.6940278496965577e-05,1.0001546567121562,1.0001546564852142,0.9791168930340852,1.7690385251817314e-22,1.7690385251817307e-22,1.9934461586157893e-16,0.0,0.0,-2.1316282072803006e-14,0.0,4.0544119285609873e-16
12,2.6367872197173145e-05,0.9998947294037057,0.9998947251890761,0.6119698087588042,2.680151033518032e-22,2.6801510335077087e-22,1.925860009350058e-12,7.105427357601002e-15,3.851141627819743e-12,1.4921397450962104e-13,2.0277329454860318e-16,0.0
13,2.1472680157768686e-05,1.0001713530548437,1.0001713388445008,-0.3075863837863976,8.053446892727898e-23,8.053446892708836e-23,1.18345701206332e-12,7.105427357601002e-15,2.3590018827235326e-12,2.6290081223123707e-13,2.0271721226938177e-16,0.0
14,2.9877220744218215e-05,1.0001232679402337,1.0001232555775428,-0.13768125998614372,1.4487132078392074e-22,1.4487132078296744e-22,3.2901695224235243e-12,2.1316282072803006e-14,6.59383658785373e-12,-1.3500311979441904e-13,4.0545391749667766e-16,2.0272696125428065e-16
15,2.2528203030425092e-05,1.0000375628657525,1.0000375528527643,0.07839307008257881,1.5406630247762275e-21,1.5406630247762275e-21,0.0,0.0,0.0,2.1316282072803006e-14,0.0,0.0
16,5.173618661389197e-05,0.9999338957464634,0.9999338945707075,0.8917596357495622,8.877117851830387e-22,8.877117851830385e-22,1.0593477481702336e-16,7.105427357601002e-15,0.0,2.2737367544323206e-13,0.0,2.0276535237363776e-16
17,2.7959142601603046e-05,1.0000432791074454,1.0000432781536246,0.9122102402403272,2.1132991501318395e-21,2.113299150112037e-21,4.685203198126898e-12,7.105427357601002e-15,9.379164112033322e-12,3.552713678800501e-14,2.027431739393648e-16,4.0548634826547396e-16
18,2.760417727493182e-05,1.0000698152724965,1.000069813203716,0.8095993554041773,7.337800342537595e-22,7.337800342452347e-22,5.80881100180816e-12,1.4210854715202004e-14,1.1638690011750441e-11,2.1316282072803006e-13,4.054755885772399e-16,6.082133841240317e-16
19,4.39022190361664e-05,1.000156461039775,1.0001564407569843,-0.8664075262737924,1.544908204088878e-22,1.5449082040888778e-22,7.60882975254536e-17,7.105427357601002e-15,0.0,-2.4584778657299466e-12,0.0,2.0272023477598912e-16
20,2.7295238412375097e-05,1.0001209845517316,1.0001209768368478,0.2900317046403246,1.6000924532404582e-22,1.6000924532404582e-22,0.0,1.4210854715202004e-14,0.0,-3.623767952376511e-13,0.0,0.0
21,4.128001960955521e-05,1.000028454293232,1.0000284367302115,-0.6165500389246097,3.682932941206296e-21,3.682932941206296e-21,0.0,0.0,0.0,-5.684341886080801e-13,0.0,0.0
22,1.3605170227076692e-05,1.00004974933776,1.0000497293825434,-0.83665630282813,1.4839928119506116e-21,1.483992811914322e-21,1.2227038172857736e-11,2.1316282072803006e-14,2.4428459255432244e-11,7.105427357601002e-14,6.082255866287771e-16,4.054837325102978e-16
