case,quadrature_relative,orientation_relative,S0_production,S0_reference
interior_red_adjacent,4.453417649005739e-09,3.9690922844389654e-16,6.41244626516277e-06,6.41244625961663e-06
interior_cross_core,8.820268866826975e-11,3.33946153153448e-16,0.18433446863638503,0.18433446862028427
interior_red_blue,2.5683349380149376e-10,5.047393023819466e-16,7.681738780419308e-09,7.68173878125395e-09
far_red_inner_wing,9.340596950583457e-13,8.342263352338705e-16,5.4277069683169e-12,5.427706968322386e-12
far_red_outer_wing,1.4307055741605578e-12,1.0810135764477847e-15,5.433655668541067e-25,5.4336556685496845e-25
far_blue_inner_wing,5.2119429835446725e-12,2.57770692739049e-16,5.3957390356257e-12,5.395739035654944e-12
far_blue_outer_wing,8.139440661013907e-12,4.414924221636968e-16,5.534877744915491e-25,5.534877744962767e-25
