coefficient,2p_regular,bound_n_ge_3,continuum,continuum_quad_error,total,ratio_to_A0
A1,0.3121475384849868,-0.30611484153173174,-0.19444241584342425,1.9790908142988325e-12,-0.18840971889016922,-0.9053878166296885
A2,0.052024589747497796,-1.9339308231071215,-0.6695374730552178,2.786300142120397e-13,-2.5514437064148416,-12.26075841634848
A3,-0.026012294873748898,-9.541546267552569,-1.388064119974906,4.3095715418343726e-14,-10.955622682401223,-52.64636749455651
A4,0.013006147436874449,-47.83736757684594,-2.9908439260980595,7.149961620536309e-13,-50.815205355507125,-244.18840014952335
A5,-0.0065030737184372245,-245.0961884984388,-7.039268895922543,1.4892677841738216e-12,-252.1419604680798,-1211.6479999739304
