z,full_amplitude,pole_subtracted_background,A1_to_A5_polynomial,background_minus_polynomial
-0.001,-208.28422817022573,-0.18586918023456178,-0.18586918024337343,8.811645857420558e-12
-0.0005,-416.38385470955274,-0.18713672957039762,-0.18713672960649058,3.609296195250522e-11
-0.0001,-2081.1717445830163,-0.18815468310458527,-0.18815468402496455,9.20379272795202e-10
0.0001,2080.7949249253425,-0.1886649745692921,-0.18866497286787792,-1.7014141762139445e-09
0.0005,416.00702979397016,-0.18968818601217663,-0.18968818601670678,4.530154029680489e-12
0.001,207.9073868207362,-0.1909721692549624,-0.19097216928661379,3.1651375964614203e-11
