x_source,x_target,mu,q_dimensionless,delta_dimensionless,log_conductance_forward,log_conductance_reverse,conductance_log_residual,log_S_MJ_minus_log_S_MB
-1.0,-3.5,-0.75,2.032340358622353e-08,6.373893532356115e-13,57.447011016837465,57.447011016837465,0.0,-1.8337900087317394e-09
-1.0,-3.5,-0.25,1.717641101484054e-08,6.373893532356115e-13,56.90088603462472,56.900886034624726,-7.105427357601002e-15,-3.0985454202436813e-09
-1.0,-3.5,0.25,1.330479076772526e-08,6.373893532356115e-13,55.48945620774233,55.489456207742336,-7.105427357601002e-15,-7.689145320455282e-09
-1.0,-3.5,0.75,7.681524548887366e-09,6.373893532356115e-13,47.704548955453674,47.70454895545368,-7.105427357601002e-15,-6.507163163860241e-08
-0.5,-3.5,-0.75,2.0323522831402334e-08,7.64867223882072e-13,56.66101833143243,56.66101833143243,0.0,-3.2481466405442916e-09
-0.5,-3.5,-0.25,1.7176511796897463e-08,7.64867223882072e-13,55.80058651245598,55.80058651245598,0.0,-5.870681718533888e-09
-0.5,-3.5,0.25,1.3304868835857922e-08,7.64867223882072e-13,53.65577406704411,53.65577406704411,0.0,-1.538952432156293e-08
-0.5,-3.5,0.75,7.68156962930162e-09,7.64867223882072e-13,42.20395373442619,42.20395373442619,0.0,-1.3437506396485333e-07
-0.5,-1.0,-0.75,2.0324119052798666e-08,1.2747787064646055e-13,59.16012926074508,59.16012926074508,0.0,-5.184404017199995e-10
-0.5,-1.0,-0.25,1.7177015691216853e-08,1.2747787064646055e-13,59.299792998242474,59.29979299824247,7.105427357601002e-15,-5.20461895803237e-10
-0.5,-1.0,0.25,1.3305259142169544e-08,1.2747787064646055e-13,59.488536850133066,59.488536850133066,0.0,-5.278089076909964e-10
-0.5,-1.0,0.75,7.681794948074473e-09,1.2747787064646055e-13,59.70449798023613,59.70449798023613,0.0,-6.196074764375226e-10
0.0,-3.5,-0.75,2.0323642076681084e-08,8.923450945301869e-13,55.732175208825865,55.732175208825865,0.0,-5.577234674092324e-09
0.0,-3.5,-0.25,1.7176612579309147e-08,8.923450945301869e-13,54.50029637840338,54.50029637840338,0.0,-1.0435691422117088e-08
0.0,-3.5,0.25,1.3304946904753908e-08,8.923450945301869e-13,51.488774240582714,51.488774240582714,0.0,-2.8070111568467837e-08
