event_id,beta_norm,frequency_ratio_in,frequency_ratio_out,mu_rest,jacobian_absolute,equilibrium_measure_ratio,relative_residual
0,2.3539604937884463e-05,1.000087574587494,1.000116473040195,-0.7487366174047226,0.4864432412331763,0.48644320270739083,7.91989387405323e-08
1,8.126372807322737e-06,1.000090252950908,1.000096468526521,0.3692198315812887,0.6138454233323977,0.6138449826693203,7.17873550826198e-07
2,4.267971697957177e-05,1.000049659665279,1.00012110432505,-0.5702747805507169,0.7381997586873685,0.7381994899933827,3.639856021031562e-07
3,0.00014031804694743258,1.0000879130982812,1.00005931738718,0.15435632014368683,1.5640665484011513,1.564066433596796,7.340120133925154e-08
4,3.499670181592468e-05,1.000020984983172,1.0000108995464494,0.4647134070337873,1.0443002323358006,1.0443007028119713,-4.5051791064398827e-07
5,5.4219843304474216e-05,1.000020706259032,0.9999893590523516,-0.6017235249850705,0.7424218275078802,0.7424220006571982,-2.3322223452471036e-07
6,6.328322115579088e-05,1.000039550946399,0.9999750811087619,-0.6247316586045328,1.1466872429515502,1.1466869769819037,2.3194616471933216e-07
7,6.84891387379403e-05,1.0000560528511502,1.0000866005352256,-0.4838979395839701,0.8835474215615693,0.8835471335672229,3.259524425924809e-07
8,1.7652123720985893e-05,1.0000771988968389,1.0000896327565392,0.6707193149703119,0.43947972780768946,0.4394794979352187,5.230561876956585e-07
9,7.307685148614592e-06,1.0000855902015329,1.0000893569861644,-0.5617730866746267,2.0540573509983404,2.0540561844728185,5.679131518387948e-07
10,1.3480079782846323e-05,0.9999214011604034,0.9999289471589238,-0.7097051476886359,0.8530657275209792,0.8530651791719575,6.427985048684803e-07
11,4.7970668276735114e-05,1.0000052904456578,0.9999745138569882,-0.05339390849543213,0.5354664561897979,0.5354665457348959,-1.6722818396708305e-07
12,1.2903203304610406e-05,0.9999091777550823,0.9999109970691429,0.5875283376095992,0.9721755478667086,0.9721747748988204,7.950914877596915e-07
13,0.00013978706767584355,0.9999402112641257,0.9999042393300623,0.2714691667228235,0.8889502570759115,0.8889502693102348,-1.3762663342298254e-08
14,6.432001895830572e-05,0.9999251206397908,0.9999290146202277,-0.014914631082911911,0.39252441594818654,0.392524581504002,-4.2177184111924504e-07
15,0.00010763384798658852,0.9999697795880451,1.0000376949475491,0.7771206988504265,1.8777007062472362,1.8777005048392177,1.0726312216213785e-07
16,9.959267410650181e-05,0.9999582230162016,0.9999752958115543,0.5049875928713461,1.4930928210914776,1.4930932003845945,-2.5403177561500456e-07
17,0.00011615822929570384,0.9999764089892557,1.0000097264046153,-0.499331307693603,0.6313206566060381,0.6313207108710397,-8.595473055539316e-08
18,0.0001214899369643033,1.0000921400361114,1.000080155996368,0.6382917768658882,0.9325915654331711,0.932591313938104,2.696733965024123e-07
19,3.3051753431857335e-05,1.0000577924194065,1.0000737305340048,0.7867726461998479,1.0045843440142705,1.004584183905269,1.5937838182544795e-07
20,5.6377850505273114e-05,0.9999716506672746,0.9999780907602573,0.034539469618007024,2.1445841434739785,2.144582575179391,7.312819780835866e-07
21,8.79281929856242e-05,0.9999747591668781,1.000049714135554,0.5659410571765648,0.832924234012207,0.8329244309900696,-2.364894764461667e-07
22,6.168130821694244e-05,1.0000593446618908,0.9999581878202214,-0.7366998173501248,0.9195664990996201,0.9195670469415846,-5.957607619455629e-07
23,7.686247426168385e-05,1.0000566896234975,0.9999753192706479,0.06476718684594773,1.0176141157019005,1.0176139716095414,1.415982515684533e-07
24,0.00012343396491780936,0.99999195774828,0.9999517658150369,0.1975181004440827,1.2996885800691897,1.2996881034089374,3.6674972325734245e-07
25,8.166353460235248e-05,1.0000468482265399,1.0001139349103876,0.1631732950720659,0.6008910025361224,0.6008911606089832,-2.630640474343693e-07
26,7.880888389368122e-05,1.0000365187968876,0.9999935136001549,0.35668793327081416,1.4541793723776508,1.4541792561385827,7.993448369880696e-08
27,0.00015416551190441762,0.9999086646191656,0.9997695775663933,0.11200881903553861,1.0361117400596762,1.0361116950755713,4.341626969051049e-08
28,4.937381237721946e-06,0.9999516830711298,0.9999536588906467,0.6627790631053452,0.970761752494124,0.9707614931033456,2.672034071782292e-07
29,7.429798924457902e-05,0.999966507238838,0.9998618350379994,-0.43276429608236316,1.3611406715171566,1.3611403912037836,2.059400887599594e-07
30,3.645616589188647e-05,0.9999869999557984,0.9999942606992003,-0.7005536453265186,2.8883861280396053,2.8883866859435385,-1.931541701027939e-07
31,1.538189629083792e-05,1.0000689174687414,1.000078487754922,-0.4574336542250098,0.5757087888111985,0.5757088999167793,-1.9298916664745036e-07
32,8.329333686163456e-05,1.0000956596026012,1.00016319173847,-0.011399509187735801,0.5965639500144538,0.5965640069503092,-9.54396421892767e-08
33,3.619221166417593e-05,1.0000977775981255,1.0001223530398495,0.4936076998670582,0.6048110323131384,0.6048112242944385,-3.174235073677423e-07
34,6.168812890219005e-05,1.0000570205294388,1.0000716772965057,0.7943313796844513,1.3732484154803843,1.3732485362492555,-8.79439285839112e-08
35,3.137312917190036e-05,0.9999309934792983,0.999915932851196,0.7522156419924939,1.8125619333010214,1.8125621348986538,-1.1122246712513828e-07
36,8.452280426653315e-05,1.0000637757828938,1.0000457287720432,-0.5206112513904648,0.549870015966393,0.5498700248759398,-1.6203005159809436e-08
37,9.360996198904593e-06,0.9999632549125764,0.99996814953597,0.030091405475854094,0.8881394770672705,0.888139104429915,4.1957093621647346e-07
38,4.1625245784041186e-05,0.9999188785793937,0.9998783702293685,0.2192554054683522,1.3206052113458335,1.3206052820893701,-5.356902443853784e-08
39,1.5019313725572362e-05,1.0000712154343636,1.0000753920158307,0.6605205831981047,0.9569462806270578,0.9569465467057993,-2.7804974311873565e-07
40,1.4600878775165828e-05,1.0000539633957968,1.0000379598662448,0.32239845730143446,0.5913490446007723,0.5913490464462536,-3.120798730549268e-09
41,2.0718753395586708e-05,0.9999281262033927,0.9999100498729275,0.14940217059669136,0.62541169589735,0.6254119910548707,-4.719409363307392e-07
42,8.588975656307117e-05,0.9999762535406201,1.0000441967234286,-0.5339262995405376,0.8091024876972631,0.8091026387673455,-1.8671312529416895e-07
43,1.3290543174567566e-05,0.9999668895857948,0.9999472987967818,-0.6806145596587894,0.8720102237395063,0.872010568927748,-3.9585327737956533e-07
44,2.067722832110991e-05,0.9999164963552741,0.9999105049985337,-0.31764564452226535,0.8444411545334616,0.8444417441800196,-6.98267893617377e-07
45,3.954798812615135e-05,0.9999547938820222,0.9998861904117576,-0.5381980637807535,1.1572055445059626,1.1572050474801496,4.2950539658193065e-07
46,2.8671776964282233e-05,1.0000835105488743,1.000036432980976,-0.4831236027290759,0.6031762593622456,0.6031765784302631,-5.289794545726423e-07
47,3.4013499575024626e-05,0.9999640381875616,0.9999588541402673,0.28138671531240833,1.1926638991344554,1.192664248797565,-2.931781596382521e-07
