kernel,weighted_rms,linear_affinity_slope_per_x,post_linear_residual_rms,expected_no_recoil_slope,slope_minus_expected
no_recoil_Hummer,0.0007475353091306238,0.0008789034499938614,2.62789329216948e-10,0.0008789035590406736,-1.090468121616589e-10
v039_exact_event_QMC,0.00024567410288998525,1.866405280272285e-05,0.00024516066316414856,0.0008789035590406736,-0.0008602395062379507
v033_thermodynamic_completion,1.068186198507656e-16,-7.815929659754253e-17,8.36123892528954e-17,0.0008789035590406736,-0.0008789035590407517
