i,j,x_i,x_j,estimator,left_conductance,right_conductance,relative_difference,combined_standard_error,significance,sobol_power,seed_count
7,9,-0.5,0.5,direct_exact,0.18438749924494063,0.18428019143952973,0.0005821383762253607,8.371346738761799e-05,1.2818463833786604,19,8
7,9,-0.5,0.5,sampled_no_recoil,0.18430528969928006,0.18436361564903198,-0.00031641371922488883,8.958444975324965e-05,-0.651072255425649,19,8
7,9,-0.5,0.5,control_variate,0.18433603462703135,0.184332413400716,1.9644894130413884e-05,1.955589619787106e-05,0.18517312010271192,19,8
7,9,-0.5,0.5,v039_raw,0.18430062257295154,0.18437136027861714,-0.000383743321737993,nan,nan,17,8
8,9,0.0,0.5,direct_exact,0.20837748730598266,0.20841552990272466,-0.00018254910793265706,0.00011310569791242652,-0.3363455373526805,19,8
8,9,0.0,0.5,sampled_no_recoil,0.20849507493245356,0.2086073963759837,-0.0005385796117571734,0.00012128787477456762,-0.926073144070623,19,8
8,9,0.0,0.5,control_variate,0.20845433831143376,0.20847173693669624,-8.346143978703102e-05,2.0042829713268152e-05,-0.8680722987415677,19,8
8,9,0.0,0.5,v039_raw,0.2085065704858466,0.20846898806929076,0.00018026196396763746,nan,nan,17,8
6,9,-1.0,0.5,direct_exact,0.06966531940607548,0.06968567919863701,-0.0002922087787728182,6.999607183893255e-05,-0.2908705021101418,19,8
6,9,-1.0,0.5,sampled_no_recoil,0.06952989274874266,0.06965024250338547,-0.001729409939497412,7.488263656569647e-05,-1.6071783815628118,19,8
6,9,-1.0,0.5,control_variate,0.06963549589130613,0.06962719211097072,0.00011925348353570211,9.479058836810917e-06,0.8760131652692907,19,8
6,9,-1.0,0.5,v039_raw,0.06965996215382812,0.06963108367610947,0.00041464944923897713,nan,nan,17,8
7,8,-0.5,0.0,direct_exact,0.20883931645582418,0.20879704307183167,0.00020244110948732877,0.00016905617565468256,0.25005524837413945,19,8
7,8,-0.5,0.0,sampled_no_recoil,0.20864179034999966,0.20869679964106938,-0.00026361948014870046,0.00017111556361393805,-0.3214745047611666,19,8
7,8,-0.5,0.0,control_variate,0.2088611295157798,0.20885556455817178,2.664465024718951e-05,2.0327787120499185e-05,0.2737611120688326,19,8
7,8,-0.5,0.0,v039_raw,0.20883546449622914,0.208811567181423,0.00011443785298870609,nan,nan,17,8
6,7,-1.0,-0.5,direct_exact,0.0698133590722031,0.06968280370426577,0.0018718130354098436,4.708734640038344e-05,2.7726210525267736,19,8
6,7,-1.0,-0.5,sampled_no_recoil,0.06975543441267873,0.06966165171694137,0.0013453544087152231,4.6393722033268984e-05,2.0214522919740205,19,8
6,7,-1.0,-0.5,control_variate,0.06972333653237421,0.06971718514738715,8.822951768917161e-05,6.92151287763837e-06,0.8887341677770267,19,8
6,7,-1.0,-0.5,v039_raw,0.06969786834470451,0.06971848511226884,-0.0002957582385870587,nan,nan,17,8
6,8,-1.0,0.0,direct_exact,0.06451818639717524,0.06449714676845938,0.0003261570264496574,7.474393908011852e-05,0.2814894287723465,19,8
6,8,-1.0,0.0,sampled_no_recoil,0.06442359341461823,0.0644765973133768,-0.0008224021773623629,7.297456582413815e-05,-0.7263338693415169,19,8
6,8,-1.0,0.0,control_variate,0.06456413336655452,0.06454677721977709,0.0002688563917427904,8.940155370736699e-06,1.9413697030640502,19,8
6,8,-1.0,0.0,v039_raw,0.06456827094535293,0.06454812914774477,0.00031199441114588677,nan,nan,17,8
7,10,-0.5,1.0,direct_exact,0.06946960258485609,0.06947596595654318,-9.159517289962542e-05,5.3281417271262526e-05,-0.11942947490860406,19,8
7,10,-0.5,1.0,sampled_no_recoil,0.06950349247455989,0.06960751228025855,-0.0014954935575656454,5.305499687160156e-05,-1.9606033706946746,19,8
7,10,-0.5,1.0,control_variate,0.06943564409646431,0.06942963361971918,8.656558131708909e-05,1.0236593565627415e-05,0.5871559427065943,19,8
7,10,-0.5,1.0,v039_raw,0.06944037119818813,0.06942898281021107,0.00016401585588681291,nan,nan,17,8
9,10,0.5,1.0,direct_exact,0.06952356098489432,0.06961760981888848,-0.0013518476731346847,5.095094275411103e-05,-1.8458703393977205,19,8
9,10,0.5,1.0,sampled_no_recoil,0.06954489740479755,0.06966338145081641,-0.0017022557421566631,5.061387290047188e-05,-2.3409401262742096,19,8
9,10,0.5,1.0,control_variate,0.06955229217145772,0.06955843796189326,-8.835825143961514e-05,7.038986073845868e-06,-0.8731073440208812,19,8
9,10,0.5,1.0,v039_raw,0.06954445054231995,0.06953753753386917,9.94091117965912e-05,nan,nan,17,8
