state_index,frequency_index,angle_index,x_center,nu_center_Hz,nx,ny,nz,normalized_angular_weight
0,0,0,-4.0,2465836062701727.0,-1.0,0.0,0.0,0.047619047619047616
1,0,1,-4.0,2465836062701727.0,1.0,0.0,0.0,0.047619047619047616
2,0,2,-4.0,2465836062701727.0,0.0,-1.0,0.0,0.047619047619047616
3,0,3,-4.0,2465836062701727.0,0.0,1.0,0.0,0.047619047619047616
4,0,4,-4.0,2465836062701727.0,0.0,0.0,-1.0,0.047619047619047616
5,0,5,-4.0,2465836062701727.0,0.0,0.0,1.0,0.047619047619047616
6,0,6,-4.0,2465836062701727.0,0.0,-0.7071067811865475,-0.7071067811865475,0.0380952380952381
7,0,7,-4.0,2465836062701727.0,0.0,-0.7071067811865475,0.7071067811865475,0.0380952380952381
8,0,8,-4.0,2465836062701727.0,0.0,0.7071067811865475,-0.7071067811865475,0.0380952380952381
9,0,9,-4.0,2465836062701727.0,0.0,0.7071067811865475,0.7071067811865475,0.0380952380952381
10,0,10,-4.0,2465836062701727.0,-0.7071067811865475,0.0,-0.7071067811865475,0.0380952380952381
11,0,11,-4.0,2465836062701727.0,-0.7071067811865475,0.0,0.7071067811865475,0.0380952380952381
12,0,12,-4.0,2465836062701727.0,0.7071067811865475,0.0,-0.7071067811865475,0.0380952380952381
13,0,13,-4.0,2465836062701727.0,0.7071067811865475,0.0,0.7071067811865475,0.0380952380952381
14,0,14,-4.0,2465836062701727.0,-0.7071067811865475,-0.7071067811865475,0.0,0.0380952380952381
15,0,15,-4.0,2465836062701727.0,-0.7071067811865475,0.7071067811865475,0.0,0.0380952380952381
16,0,16,-4.0,2465836062701727.0,0.7071067811865475,-0.7071067811865475,0.0,0.0380952380952381
17,0,17,-4.0,2465836062701727.0,0.7071067811865475,0.7071067811865475,0.0,0.0380952380952381
18,0,18,-4.0,2465836062701727.0,-0.5773502691896258,-0.5773502691896258,-0.5773502691896258,0.03214285714285714
19,0,19,-4.0,2465836062701727.0,-0.5773502691896258,-0.5773502691896258,0.5773502691896258,0.03214285714285714
20,0,20,-4.0,2465836062701727.0,-0.5773502691896258,0.5773502691896258,-0.5773502691896258,0.03214285714285714
21,0,21,-4.0,2465836062701727.0,-0.5773502691896258,0.5773502691896258,0.5773502691896258,0.03214285714285714
22,0,22,-4.0,2465836062701727.0,0.5773502691896258,-0.5773502691896258,-0.5773502691896258,0.03214285714285714
23,0,23,-4.0,2465836062701727.0,0.5773502691896258,-0.5773502691896258,0.5773502691896258,0.03214285714285714
24,0,24,-4.0,2465836062701727.0,0.5773502691896258,0.5773502691896258,-0.5773502691896258,0.03214285714285714
25,0,25,-4.0,2465836062701727.0,0.5773502691896258,0.5773502691896258,0.5773502691896258,0.03214285714285714
26,1,0,-3.5,2465864999762483.0,-1.0,0.0,0.0,0.047619047619047616
27,1,1,-3.5,2465864999762483.0,1.0,0.0,0.0,0.047619047619047616
28,1,2,-3.5,2465864999762483.0,0.0,-1.0,0.0,0.047619047619047616
29,1,3,-3.5,2465864999762483.0,0.0,1.0,0.0,0.047619047619047616
30,1,4,-3.5,2465864999762483.0,0.0,0.0,-1.0,0.047619047619047616
31,1,5,-3.5,2465864999762483.0,0.0,0.0,1.0,0.047619047619047616
32,1,6,-3.5,2465864999762483.0,0.0,-0.7071067811865475,-0.7071067811865475,0.0380952380952381
33,1,7,-3.5,2465864999762483.0,0.0,-0.7071067811865475,0.7071067811865475,0.0380952380952381
34,1,8,-3.5,2465864999762483.0,0.0,0.7071067811865475,-0.7071067811865475,0.0380952380952381
35,1,9,-3.5,2465864999762483.0,0.0,0.7071067811865475,0.7071067811865475,0.0380952380952381
36,1,10,-3.5,2465864999762483.0,-0.7071067811865475,0.0,-0.7071067811865475,0.0380952380952381
37,1,11,-3.5,2465864999762483.0,-0.7071067811865475,0.0,0.7071067811865475,0.0380952380952381
38,1,12,-3.5,2465864999762483.0,0.7071067811865475,0.0,-0.7071067811865475,0.0380952380952381
39,1,13,-3.5,2465864999762483.0,0.7071067811865475,0.0,0.7071067811865475,0.0380952380952381
40,1,14,-3.5,2465864999762483.0,-0.7071067811865475,-0.7071067811865475,0.0,0.0380952380952381
41,1,15,-3.5,2465864999762483.0,-0.7071067811865475,0.7071067811865475,0.0,0.0380952380952381
42,1,16,-3.5,2465864999762483.0,0.7071067811865475,-0.7071067811865475,0.0,0.0380952380952381
43,1,17,-3.5,2465864999762483.0,0.7071067811865475,0.7071067811865475,0.0,0.0380952380952381
44,1,18,-3.5,2465864999762483.0,-0.5773502691896258,-0.5773502691896258,-0.5773502691896258,0.03214285714285714
45,1,19,-3.5,2465864999762483.0,-0.5773502691896258,-0.5773502691896258,0.5773502691896258,0.03214285714285714
46,1,20,-3.5,2465864999762483.0,-0.5773502691896258,0.5773502691896258,-0.5773502691896258,0.03214285714285714
47,1,21,-3.5,2465864999762483.0,-0.5773502691896258,0.5773502691896258,0.5773502691896258,0.03214285714285714
48,1,22,-3.5,2465864999762483.0,0.5773502691896258,-0.5773502691896258,-0.5773502691896258,0.03214285714285714
49,1,23,-3.5,2465864999762483.0,0.5773502691896258,-0.5773502691896258,0.5773502691896258,0.03214285714285714
50,1,24,-3.5,2465864999762483.0,0.5773502691896258,0.5773502691896258,-0.5773502691896258,0.03214285714285714
