physics_orbit_id,frequency_pair_id,frequency_i,frequency_j,x_i,x_j,mu_id,mu_label,mu,edge_multiplicity,Q_SI_kg_m_per_s,DeltaE_SI_J,p_parallel_over_sigma_p,required_parallel_speed_over_c,log_dynamic_structure_factor,same_ray_frequency_change,log_dynamic_structure_factor_relative,recommended_active
16,1,0,1,-4.0,-3.5,4,-1/2,-0.5,48,9.439798019857994e-27,1.9173899450406803e-23,0.40771731061493,6.765869191102897e-06,50.41064531487583,False,-1.1336160942254594,True
17,1,0,1,-4.0,-3.5,5,-1/3,-0.3333333333333333,24,8.899926923856109e-27,1.9173899450406803e-23,0.4325163235743764,7.1773966719916015e-06,50.45911835030954,False,-1.0851430587917505,True
18,1,0,1,-4.0,-3.5,6,0,0.0,192,7.707562807950823e-27,1.9173899450406803e-23,0.49958112475959193,8.290304219287376e-06,50.571703921497935,False,-0.9725574876033534,True
19,1,0,1,-4.0,-3.5,7,1/3,0.3333333333333333,24,6.293198680085883e-27,1.9173899450406803e-23,0.6120483900347995,1.0156643433547019e-05,50.711925509770744,False,-0.8323358993305447,True
20,1,0,1,-4.0,-3.5,8,1/2,0.5,48,5.450069928110891e-27,1.9173899450406803e-23,0.706841707154609,1.1729692129605696e-05,50.79325556236489,False,-0.7510058467363976,True
21,1,0,1,-4.0,-3.5,9,1/sqrt(3),0.5773502691896258,48,5.010803484938964e-27,1.9173899450406803e-23,0.7688612622638764,1.2758876287930551e-05,50.83152650251218,False,-0.7127349065891053,True
22,1,0,1,-4.0,-3.5,10,1/sqrt(2),0.7071067811865475,48,4.171302933641565e-27,1.9173899450406803e-23,0.9237103327635238,1.532852081389962e-05,50.88384777074556,False,-0.6604136383557275,True
23,1,0,1,-4.0,-3.5,11,sqrt(2/3),0.816496580927726,48,3.3017117307552e-27,1.9173899450406803e-23,1.167111547558632,1.9367644827975605e-05,50.86318087878775,False,-0.6810805303135368,True
24,1,0,1,-4.0,-3.5,12,1,1.0,26,6.395727452058361e-32,1.9173899450406803e-23,60260.863151761434,0.9999995261737619,-1815685751.5016677,True,-1815685803.0459292,False
25,2,0,2,-4.0,-3.0,0,-1,-1.0,26,1.0900203812903089e-26,3.8347798901144907e-23,0.7065102489844144,1.1724191743520843e-05,50.10033674783862,False,-1.4439246612626704,True
26,2,0,2,-4.0,-3.0,1,-sqrt(2/3),-0.816496580927726,48,1.0388118929168779e-26,3.8347798901144907e-23,0.7414008686079157,1.23031844971351e-05,50.12319623486209,False,-1.421065174239196,True
27,2,0,2,-4.0,-3.0,2,-1/sqrt(2),-0.7071067811865475,48,1.0070475203061622e-26,3.8347798901144907e-23,0.7648249475167704,1.2691895620487586e-05,50.13661010552498,False,-1.4076513035763085,True
28,2,0,2,-4.0,-3.0,3,-1/sqrt(3),-0.5773502691896258,48,9.680185791435414e-27,3.8347798901144907e-23,0.7957092734111639,1.3204405890757202e-05,50.15203888295973,False,-1.392222526141559,True
29,2,0,2,-4.0,-3.0,4,-1/2,-0.5,48,9.439853408618738e-27,3.8347798901144907e-23,0.815996735614792,1.354106639526747e-05,50.16083081373457,False,-1.3834305953667183,True
30,2,0,2,-4.0,-3.0,5,-1/3,-0.3333333333333333,24,8.899979144957142e-27,3.8347798901144907e-23,0.8655620490122131,1.436357850876391e-05,50.17804883747318,False,-1.366212571628111,True
