mu_id,mu_label,mu,unordered_offdiagonal_pairs,ordered_offdiagonal_pairs,diagonal_pairs
0,-1,-1.0,13,26,0
1,-sqrt(2/3),-0.816496580927726,24,48,0
2,-1/sqrt(2),-0.7071067811865475,24,48,0
3,-1/sqrt(3),-0.5773502691896258,24,48,0
4,-1/2,-0.5,24,48,0
5,-1/3,-0.3333333333333333,12,24,0
6,0,0.0,96,192,0
7,1/3,0.3333333333333333,12,24,0
8,1/2,0.5,24,48,0
9,1/sqrt(3),0.5773502691896258,24,48,0
10,1/sqrt(2),0.7071067811865475,24,48,0
11,sqrt(2/3),0.816496580927726,24,48,0
12,1,1.0,0,0,26
