angle_index,node_class,nx,ny,nz,normalized_weight
0,axis,-1.0,0.0,0.0,0.047619047619047616
1,axis,1.0,0.0,0.0,0.047619047619047616
2,axis,0.0,-1.0,0.0,0.047619047619047616
3,axis,0.0,1.0,0.0,0.047619047619047616
4,axis,0.0,0.0,-1.0,0.047619047619047616
5,axis,0.0,0.0,1.0,0.047619047619047616
6,edge_midpoint,0.0,-0.7071067811865475,-0.7071067811865475,0.0380952380952381
7,edge_midpoint,0.0,-0.7071067811865475,0.7071067811865475,0.0380952380952381
8,edge_midpoint,0.0,0.7071067811865475,-0.7071067811865475,0.0380952380952381
9,edge_midpoint,0.0,0.7071067811865475,0.7071067811865475,0.0380952380952381
10,edge_midpoint,-0.7071067811865475,0.0,-0.7071067811865475,0.0380952380952381
11,edge_midpoint,-0.7071067811865475,0.0,0.7071067811865475,0.0380952380952381
12,edge_midpoint,0.7071067811865475,0.0,-0.7071067811865475,0.0380952380952381
13,edge_midpoint,0.7071067811865475,0.0,0.7071067811865475,0.0380952380952381
14,edge_midpoint,-0.7071067811865475,-0.7071067811865475,0.0,0.0380952380952381
15,edge_midpoint,-0.7071067811865475,0.7071067811865475,0.0,0.0380952380952381
16,edge_midpoint,0.7071067811865475,-0.7071067811865475,0.0,0.0380952380952381
17,edge_midpoint,0.7071067811865475,0.7071067811865475,0.0,0.0380952380952381
18,cube_corner,-0.5773502691896258,-0.5773502691896258,-0.5773502691896258,0.03214285714285714
19,cube_corner,-0.5773502691896258,-0.5773502691896258,0.5773502691896258,0.03214285714285714
20,cube_corner,-0.5773502691896258,0.5773502691896258,-0.5773502691896258,0.03214285714285714
21,cube_corner,-0.5773502691896258,0.5773502691896258,0.5773502691896258,0.03214285714285714
22,cube_corner,0.5773502691896258,-0.5773502691896258,-0.5773502691896258,0.03214285714285714
23,cube_corner,0.5773502691896258,-0.5773502691896258,0.5773502691896258,0.03214285714285714
24,cube_corner,0.5773502691896258,0.5773502691896258,-0.5773502691896258,0.03214285714285714
25,cube_corner,0.5773502691896258,0.5773502691896258,0.5773502691896258,0.03214285714285714
