method,n_cell,maximum_face_error,previous_to_current_error_ratio,minimum_trace,creates_new_extrema,production_selected
p0,17,0.04800463877179295,nan,0.6188762134917907,0,1
muscl,17,0.0017996071258719049,nan,0.6188762134917907,0,0
p0,34,0.024485356240205203,1.9605448375290064,0.6095937664624981,0,1
muscl,34,0.00047406491557389074,3.7961196172750875,0.6095937664624981,0,0
p0,68,0.01236548686578609,1.980136852350992,0.6050218989362237,0,1
muscl,68,0.00012166283507131226,3.896546675868758,0.6050218989362237,0,0
p0,136,0.006213705413898429,1.99003429388972,0.6027530774503169,0,1
muscl,136,3.081718900266317e-05,3.9478887922191204,0.6027530774503169,0,0
